gene	in_original117	n_direct_relations	metabolite_keys	metabolite_names	relation_keys	scope
SLC29A2	False	6	KEGG:C00106;KEGG:C00153;KEGG:C00212;KEGG:C00242;KEGG:C00262;KEGG:C00294	uracil ; nicotinamide ; adenosine ; guanine ; hypoxanthine ; inosine	KEGG:C00106|SLC29A2;KEGG:C00153|SLC29A2;KEGG:C00212|SLC29A2;KEGG:C00242|SLC29A2;KEGG:C00262|SLC29A2;KEGG:C00294|SLC29A2	Direct biochemical candidate; no new patient/function test
SLC47A1	False	1	KEGG:C00791	creatinine	KEGG:C00791|SLC47A1	Direct biochemical candidate; no new patient/function test
SLC47A2	False	1	KEGG:C00791	creatinine	KEGG:C00791|SLC47A2	Direct biochemical candidate; no new patient/function test
SLC5A10	False	1	KEGG:C07326	1,5-anhydroglucitol (1,5-AG)	KEGG:C07326|SLC5A10	Direct biochemical candidate; no new patient/function test
SLC6A6	True	1	KEGG:C00245	taurine	KEGG:C00245|SLC6A6	Direct biochemical candidate; no new patient/function test
SLC6A8	True	1	KEGG:C00300	creatine	KEGG:C00300|SLC6A8	Direct biochemical candidate; no new patient/function test
SLC7A11	True	2	KEGG:C00025;KEGG:C00491	glutamate ; cystine	KEGG:C00025|SLC7A11;KEGG:C00491|SLC7A11	Direct biochemical candidate; no new patient/function test
SOAT1	True	1	KEGG:C00187	cholesterol	KEGG:C00187|SOAT1	Direct biochemical candidate; no new patient/function test
SOAT2	True	1	KEGG:C00187	cholesterol	KEGG:C00187|SOAT2	Direct biochemical candidate; no new patient/function test
SORD	True	2	KEGG:C00095;KEGG:C00794	fructose ; sorbitol	KEGG:C00095|SORD;KEGG:C00794|SORD	Direct biochemical candidate; no new patient/function test
SPHK1	True	1	KEGG:C00319	sphingosine	KEGG:C00319|SPHK1	Direct biochemical candidate; no new patient/function test
SPHK2	True	1	KEGG:C00319	sphingosine	KEGG:C00319|SPHK2	Direct biochemical candidate; no new patient/function test
SQLE	True	1	KEGG:C00751	squalene	KEGG:C00751|SQLE	Direct biochemical candidate; no new patient/function test
SUCLA2	False	1	KEGG:C00042	succinate	KEGG:C00042|SUCLA2	Direct biochemical candidate; no new patient/function test
SUCLG1	False	1	KEGG:C00042	succinate	KEGG:C00042|SUCLG1	Direct biochemical candidate; no new patient/function test
SUCLG2	False	1	KEGG:C00042	succinate	KEGG:C00042|SUCLG2	Direct biochemical candidate; no new patient/function test
TAT	True	2	KEGG:C00025;KEGG:C01179	glutamate ; 4-hydroxyphenylpyruvate	KEGG:C00025|TAT;KEGG:C01179|TAT	Direct biochemical candidate; no new patient/function test
UPB1	True	1	KEGG:C00099	beta-alanine	KEGG:C00099|UPB1	Direct biochemical candidate; no new patient/function test
UPP1	True	1	KEGG:C00106	uracil	KEGG:C00106|UPP1	Direct biochemical candidate; no new patient/function test
UPP2	True	1	KEGG:C00106	uracil	KEGG:C00106|UPP2	Direct biochemical candidate; no new patient/function test
