gene	status
HORMAD1	LOW_EXPRESSION
CTSS	TESTED
CTSK	LOW_EXPRESSION
ARNT	TESTED
CERS2	LOW_EXPRESSION
MINDY1	TESTED
CDC42SE1	TESTED
SEMA6C	LOW_EXPRESSION
LYSMD1	TESTED
VPS72	TESTED
AL391069.2	LOW_EXPRESSION
PI4KB	TESTED
RFX5	TESTED
SELENBP1	TESTED
POGZ	TESTED
AL391335.1	LOW_EXPRESSION
CELF3	LOW_EXPRESSION
MRPL9	TESTED
TDRKH	LOW_EXPRESSION
LINGO4	LOW_EXPRESSION
RORC	TESTED
C2CD4D	TESTED
THEM4	TESTED
S100A10	TESTED
S100A11	TESTED
TCHH	LOW_EXPRESSION
SPRR2D	TESTED
SPRR2A	TESTED
SPRR2E	LOW_EXPRESSION
PGLYRP4	LOW_EXPRESSION
S100A12	LOW_EXPRESSION
S100A8	TESTED
S100A7	TESTED
S100A6	TESTED
S100A5	LOW_EXPRESSION
S100A4	TESTED
S100A2	TESTED
S100A16	TESTED
S100A14	TESTED
S100A13	TESTED
AL162258.2	TESTED
ILF2	TESTED
GATAD2B	TESTED
DENND4B	TESTED
CRTC2	TESTED
SLC39A1	TESTED
JTB	TESTED
RAB13	TESTED
NUP210L	LOW_EXPRESSION
TPM3	TESTED
C1orf43	TESTED
IL6R-AS1	LOW_EXPRESSION
SHE	LOW_EXPRESSION
UBE2Q1	TESTED
ADAR	TESTED
KCNN3	LOW_EXPRESSION
PMVK	TESTED
PBXIP1	TESTED
PYGO2	TESTED
SHC1	LOW_EXPRESSION
DCST2	LOW_EXPRESSION
DCST1-AS1	LOW_EXPRESSION
DPM3	TESTED
KRTCAP2	TESTED
MUC1	TESTED
THBS3	TESTED
GBA	TESTED
FAM189B	TESTED
SCAMP3	TESTED
CLK2	TESTED
PKLR	LOW_EXPRESSION
RUSC1-AS1	LOW_EXPRESSION
ASH1L	TESTED
AL353807.2	LOW_EXPRESSION
YY1AP1	TESTED
GON4L	TESTED
RIT1	TESTED
KHDC4	TESTED
ARHGEF2	TESTED
SSR2	TESTED
UBQLN4	TESTED
MEX3A	TESTED
PAQR6	TESTED
SMG5	TESTED
GLMP	TESTED
VHLL	LOW_EXPRESSION
CCT3	TESTED
C1orf61	LOW_EXPRESSION
AL139412.1	LOW_EXPRESSION
MEF2D	TESTED
IQGAP3	TESTED
GPATCH4	TESTED
AL365181.4	LOW_EXPRESSION
AL365181.2	TESTED
AL365181.3	TESTED
AL590666.2	LOW_EXPRESSION
NES	TESTED
AL590666.3	LOW_EXPRESSION
CRABP2	LOW_EXPRESSION
AL590666.1	LOW_EXPRESSION
ISG20L2	TESTED
MRPL24	TESTED
HDGF	TESTED
SH2D2A	TESTED
ARHGEF11	TESTED
ETV3	TESTED
FCRL5	LOW_EXPRESSION
FCRL4	LOW_EXPRESSION
FCRL3	LOW_EXPRESSION
FCRL2	LOW_EXPRESSION
FCRL1	LOW_EXPRESSION
CD5L	LOW_EXPRESSION
AL138899.1	LOW_EXPRESSION
CD1B	LOW_EXPRESSION
AL365440.2	LOW_EXPRESSION
AIM2	TESTED
CADM3-AS1	LOW_EXPRESSION
CFAP45	LOW_EXPRESSION
TAGLN2	TESTED
IGSF9	TESTED
SLAMF9	LOW_EXPRESSION
KCNJ10	LOW_EXPRESSION
IGSF8	TESTED
AL121987.2	LOW_EXPRESSION
DCAF8	TESTED
PEX19	LOW_EXPRESSION
COPA	TESTED
SLAMF6	LOW_EXPRESSION
CD84	LOW_EXPRESSION
SLAMF1	LOW_EXPRESSION
CD48	TESTED
CD244	LOW_EXPRESSION
ITLN1	TESTED
ITLN2	LOW_EXPRESSION
F11R	TESTED
TSTD1	TESTED
USF1	TESTED
ARHGAP30	LOW_EXPRESSION
NECTIN4	TESTED
PFDN2	TESTED
DEDD	LOW_EXPRESSION
AL590714.1	LOW_EXPRESSION
B4GALT3	TESTED
ADAMTS4	LOW_EXPRESSION
MPZ	LOW_EXPRESSION
FCGR3A	LOW_EXPRESSION
FCGR3B	LOW_EXPRESSION
AL359541.1	LOW_EXPRESSION
OLFML2B	LOW_EXPRESSION
SH2D1B	LOW_EXPRESSION
AL596325.1	LOW_EXPRESSION
CCDC190	LOW_EXPRESSION
RGS5	LOW_EXPRESSION
AL357568.1	LOW_EXPRESSION
RXRG	LOW_EXPRESSION
ALDH9A1	TESTED
AL451074.6	LOW_EXPRESSION
TMCO1	TESTED
AL358115.1	LOW_EXPRESSION
FAM78B	LOW_EXPRESSION
TADA1	TESTED
ILDR2	LOW_EXPRESSION
GPA33	TESTED
AL451050.2	TESTED
CD247	LOW_EXPRESSION
CREG1	TESTED
AL031733.2	LOW_EXPRESSION
ADCY10	LOW_EXPRESSION
MPC2	TESTED
GPR161	TESTED
AL023755.1	LOW_EXPRESSION
XCL2	LOW_EXPRESSION
DPT	LOW_EXPRESSION
AL031275.1	LOW_EXPRESSION
LINC00970	LOW_EXPRESSION
NME7	TESTED
CCDC181	TESTED
SLC19A2	TESTED
F5	LOW_EXPRESSION
SELP	LOW_EXPRESSION
SELL	LOW_EXPRESSION
SELE	LOW_EXPRESSION
METTL18	TESTED
SCYL3	TESTED
KIFAP3	TESTED
AL354732.1	LOW_EXPRESSION
AL445673.1	LOW_EXPRESSION
MYOC	LOW_EXPRESSION
VAMP4	TESTED
DNM3OS	LOW_EXPRESSION
PIGC	LOW_EXPRESSION
TNFSF18	LOW_EXPRESSION
TNFSF4	LOW_EXPRESSION
AL645568.1	LOW_EXPRESSION
ANKRD45	LOW_EXPRESSION
CENPL	TESTED
SERPINC1	LOW_EXPRESSION
RC3H1	TESTED
AL121983.2	LOW_EXPRESSION
MRPS14	TESTED
KIAA0040	TESTED
TNR	LOW_EXPRESSION
AL513329.1	LOW_EXPRESSION
COP1	TESTED
AL122019.1	LOW_EXPRESSION
SEC16B	TESTED
RASAL2-AS1	LOW_EXPRESSION
CLEC20A	LOW_EXPRESSION
AL449106.1	LOW_EXPRESSION
ANGPTL1	LOW_EXPRESSION
ABL2	TESTED
AL160286.3	LOW_EXPRESSION
AL359853.1	LOW_EXPRESSION
AL359853.2	LOW_EXPRESSION
TOR1AIP2	TESTED
AL353708.3	TESTED
AL353708.1	LOW_EXPRESSION
ACBD6	TESTED
AL162431.2	LOW_EXPRESSION
STX6	TESTED
ZNF648	LOW_EXPRESSION
AL355482.1	LOW_EXPRESSION
LINC01344	LOW_EXPRESSION
GLUL	TESTED
RNASEL	TESTED
RGS16	TESTED
NMNAT2	LOW_EXPRESSION
NCF2	TESTED
ARPC5	TESTED
APOBEC4	LOW_EXPRESSION
COLGALT2	LOW_EXPRESSION
AL445228.2	LOW_EXPRESSION
EDEM3	TESTED
FAM129A	LOW_EXPRESSION
TRMT1L	TESTED
IVNS1ABP	TESTED
TPR	TESTED
PTGS2	TESTED
BRINP3	LOW_EXPRESSION
AL390957.1	TESTED
UCHL5	TESTED
GLRX2	TESTED
B3GALT2	LOW_EXPRESSION
AL357793.2	LOW_EXPRESSION
LINC01724	LOW_EXPRESSION
KCNT2	LOW_EXPRESSION
ASPM	TESTED
ZBTB41	TESTED
DENND1B	TESTED
AL157402.1	LOW_EXPRESSION
AL157402.2	LOW_EXPRESSION
MIR181A1HG	LOW_EXPRESSION
LINC00862	LOW_EXPRESSION
ZNF281	TESTED
AL359834.1	LOW_EXPRESSION
KIF14	TESTED
DDX59	TESTED
KIF21B	TESTED
ASCL5	LOW_EXPRESSION
TMEM9	TESTED
TNNT2	TESTED
LAD1	TESTED
TNNI1	LOW_EXPRESSION
PHLDA3	TESTED
CSRP1	TESTED
IPO9-AS1	LOW_EXPRESSION
LMOD1	LOW_EXPRESSION
AC099676.1	LOW_EXPRESSION
ELF3-AS1	TESTED
ARL8A	TESTED
PTPN7	TESTED
UBE2T	TESTED
SYT2	LOW_EXPRESSION
KDM5B	TESTED
AC098934.4	LOW_EXPRESSION
RABIF	TESTED
KLHL12	TESTED
ADIPOR1	TESTED
CYB5R1	TESTED
CHI3L1	TESTED
CHIT1	LOW_EXPRESSION
LINC01136	LOW_EXPRESSION
FMOD	TESTED
