pathway_id	pathway	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
R-HSA-5218920	VEGFR2 mediated vascular permeability	higher_in_LYPLA1_high	11058	39	21	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5218920	VEGFR2 mediated vascular permeability	lower_in_LYPLA1_high	11058	92	21	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5218921	VEGFR2 mediated cell proliferation	higher_in_LYPLA1_high	11058	39	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5218921	VEGFR2 mediated cell proliferation	lower_in_LYPLA1_high	11058	92	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5223345	Miscellaneous transport and binding events	higher_in_LYPLA1_high	11058	39	18	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5223345	Miscellaneous transport and binding events	lower_in_LYPLA1_high	11058	92	18	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5250913	Positive epigenetic regulation of rRNA expression	higher_in_LYPLA1_high	11058	39	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5250913	Positive epigenetic regulation of rRNA expression	lower_in_LYPLA1_high	11058	92	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	higher_in_LYPLA1_high	11058	39	27	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	lower_in_LYPLA1_high	11058	92	27	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5250941	Negative epigenetic regulation of rRNA expression	higher_in_LYPLA1_high	11058	39	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5250941	Negative epigenetic regulation of rRNA expression	lower_in_LYPLA1_high	11058	92	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-525793	Myogenesis	higher_in_LYPLA1_high	11058	39	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-525793	Myogenesis	lower_in_LYPLA1_high	11058	92	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5260271	Diseases of Immune System	higher_in_LYPLA1_high	11058	39	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5260271	Diseases of Immune System	lower_in_LYPLA1_high	11058	92	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	higher_in_LYPLA1_high	11058	39	31	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	lower_in_LYPLA1_high	11058	92	31	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5339562	Uptake and actions of bacterial toxins	higher_in_LYPLA1_high	11058	39	21	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5339562	Uptake and actions of bacterial toxins	lower_in_LYPLA1_high	11058	92	21	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	higher_in_LYPLA1_high	11058	39	20	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	lower_in_LYPLA1_high	11058	92	20	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357786	TNFR1-induced proapoptotic signaling	higher_in_LYPLA1_high	11058	39	23	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357786	TNFR1-induced proapoptotic signaling	lower_in_LYPLA1_high	11058	92	23	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357905	Regulation of TNFR1 signaling	higher_in_LYPLA1_high	11058	39	43	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357905	Regulation of TNFR1 signaling	lower_in_LYPLA1_high	11058	92	43	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357956	TNFR1-induced NF-kappa-B signaling pathway	higher_in_LYPLA1_high	11058	39	28	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5357956	TNFR1-induced NF-kappa-B signaling pathway	lower_in_LYPLA1_high	11058	92	28	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5358346	Hedgehog ligand biogenesis	higher_in_LYPLA1_high	11058	39	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5358346	Hedgehog ligand biogenesis	lower_in_LYPLA1_high	11058	92	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5358351	Signaling by Hedgehog	higher_in_LYPLA1_high	11058	39	101	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5358351	Signaling by Hedgehog	lower_in_LYPLA1_high	11058	92	101	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5362517	Signaling by Retinoic Acid	higher_in_LYPLA1_high	11058	39	25	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5362517	Signaling by Retinoic Acid	lower_in_LYPLA1_high	11058	92	25	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5362768	Hh mutants are degraded by ERAD	higher_in_LYPLA1_high	11058	39	39	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5362768	Hh mutants are degraded by ERAD	lower_in_LYPLA1_high	11058	92	39	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5368286	Mitochondrial translation initiation	higher_in_LYPLA1_high	11058	39	80	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5368286	Mitochondrial translation initiation	lower_in_LYPLA1_high	11058	92	80	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5368287	Mitochondrial translation	higher_in_LYPLA1_high	11058	39	89	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5368287	Mitochondrial translation	lower_in_LYPLA1_high	11058	92	89	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5387390	Hh mutants abrogate ligand secretion	higher_in_LYPLA1_high	11058	39	40	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5387390	Hh mutants abrogate ligand secretion	lower_in_LYPLA1_high	11058	92	40	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5389840	Mitochondrial translation elongation	higher_in_LYPLA1_high	11058	39	79	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5389840	Mitochondrial translation elongation	lower_in_LYPLA1_high	11058	92	79	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5419276	Mitochondrial translation termination	higher_in_LYPLA1_high	11058	39	81	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5419276	Mitochondrial translation termination	lower_in_LYPLA1_high	11058	92	81	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5576891	Cardiac conduction	higher_in_LYPLA1_high	11058	39	46	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5578749	Transcriptional regulation by small RNAs	higher_in_LYPLA1_high	11058	39	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5578749	Transcriptional regulation by small RNAs	lower_in_LYPLA1_high	11058	92	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5578775	Ion homeostasis	higher_in_LYPLA1_high	11058	39	24	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5578775	Ion homeostasis	lower_in_LYPLA1_high	11058	92	24	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5579029	Metabolic disorders of biological oxidation enzymes	higher_in_LYPLA1_high	11058	39	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5579029	Metabolic disorders of biological oxidation enzymes	lower_in_LYPLA1_high	11058	92	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5601884	PIWI-interacting RNA (piRNA) biogenesis	higher_in_LYPLA1_high	11058	39	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5601884	PIWI-interacting RNA (piRNA) biogenesis	lower_in_LYPLA1_high	11058	92	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5602358	Diseases associated with the TLR signaling cascade	higher_in_LYPLA1_high	11058	39	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5602358	Diseases associated with the TLR signaling cascade	lower_in_LYPLA1_high	11058	92	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	higher_in_LYPLA1_high	11058	39	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	lower_in_LYPLA1_high	11058	92	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5607764	CLEC7A (Dectin-1) signaling	lower_in_LYPLA1_high	11058	92	75	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5609975	Diseases associated with glycosylation precursor biosynthesis	higher_in_LYPLA1_high	11058	39	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5609975	Diseases associated with glycosylation precursor biosynthesis	lower_in_LYPLA1_high	11058	92	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610780	Degradation of GLI1 by the proteasome	higher_in_LYPLA1_high	11058	39	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610780	Degradation of GLI1 by the proteasome	lower_in_LYPLA1_high	11058	92	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610783	Degradation of GLI2 by the proteasome	higher_in_LYPLA1_high	11058	39	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610783	Degradation of GLI2 by the proteasome	lower_in_LYPLA1_high	11058	92	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	higher_in_LYPLA1_high	11058	39	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	lower_in_LYPLA1_high	11058	92	42	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610787	Hedgehog 'off' state	higher_in_LYPLA1_high	11058	39	77	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5610787	Hedgehog 'off' state	lower_in_LYPLA1_high	11058	92	77	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
