config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
merge035	RETREG2	turquoise	918	0.340810610362098	787	0.857298474945534	0.313328805552927	0.393013100436681
merge035	STEAP4	grey	NA	NA	NA	NA	NA	NA
merge035	KIF16B	turquoise	918	0.620196201063747	157	0.171023965141612	0.382776642052807	0.256550218340611
merge035	MAP4K5	grey	NA	NA	NA	NA	NA	NA
merge035	PHF1	turquoise	918	0.395649157460165	646	0.703703703703704	0.0859901025615565	0.854803493449782
merge035	OCLN	turquoise	918	0.588549949688976	202	0.220043572984749	0.327512942848285	0.360262008733624
merge035	NREP	blue	849	0.358699651460263	671	0.790341578327444	0.309564372253325	0.608951707891637
merge035	MYNN	grey	NA	NA	NA	NA	NA	NA
merge035	RTL8B	grey	NA	NA	NA	NA	NA	NA
merge035	COPS7B	blue	849	0.364735015089096	650	0.765606595995289	0.462255598724782	0.210836277974087
merge035	RNF135	grey	NA	NA	NA	NA	NA	NA
merge035	PSPC1	grey	NA	NA	NA	NA	NA	NA
merge035	MDM2	turquoise	918	0.467395891205308	425	0.462962962962963	0.25965647600655	0.508733624454148
merge035	ITPR2	grey	NA	NA	NA	NA	NA	NA
merge035	RPF1	red	213	0.544279970261042	99	0.464788732394366	0.360159081101727	0.259433962264151
merge035	ARFGEF1	turquoise	918	0.306061130677261	859	0.935729847494553	0.211404034425152	0.617903930131004
merge035	SMAD1	grey	NA	NA	NA	NA	NA	NA
merge035	RYBP	brown	757	0.652227659182406	56	0.0739762219286658	0.425861182010735	0.199471598414795
merge035	RNF145	yellow	616	0.433501436216928	357	0.579545454545455	0.472200031013048	0.154723127035831
merge035	MAP3K11	grey	NA	NA	NA	NA	NA	NA
merge035	FAM229B	pink	147	0.495655668582735	67	0.45578231292517	0.0399946924422652	0.712328767123288
merge035	ECHDC3	yellow	616	0.580614641487155	107	0.173701298701299	0.356230779825627	0.395765472312704
merge035	PANK3	turquoise	918	0.559146778417488	248	0.270152505446623	0.303693263396331	0.412663755458515
merge035	PEX7	grey	NA	NA	NA	NA	NA	NA
merge035	ZCCHC10	turquoise	918	0.485401346736142	376	0.40958605664488	0.255922027619713	0.518558951965066
merge035	ATN1	grey	NA	NA	NA	NA	NA	NA
merge035	RAB20	grey	NA	NA	NA	NA	NA	NA
merge035	NFE2L1	turquoise	918	0.463353202484712	436	0.474945533769063	0.198729644149704	0.639737991266376
merge035	ANKRD54	grey	NA	NA	NA	NA	NA	NA
merge035	GUCD1	grey	NA	NA	NA	NA	NA	NA
merge035	TAOK1	brown	757	0.462342608779936	396	0.523117569352708	0.427031660063351	0.19550858652576
merge035	ST3GAL1	grey	NA	NA	NA	NA	NA	NA
merge035	STRADB	grey	NA	NA	NA	NA	NA	NA
merge035	PUM2	brown	757	0.438638992761067	461	0.608982826948481	0.427109914411994	0.194187582562748
merge035	PDS5A	grey	NA	NA	NA	NA	NA	NA
merge035	KCNK1	green	227	0.536538977828378	84	0.370044052863436	0.450968282527085	0.176211453744493
merge035	TP53I3	magenta	56	0.0588607715163278	56	1	0.0856320420899136	0.928571428571429
merge035	PUS7L	turquoise	918	0.340374241387268	789	0.859477124183007	-0.0172748788073972	0.950873362445415
merge035	MARK3	grey	NA	NA	NA	NA	NA	NA
merge035	TINAGL1	yellow	616	0.340971169856283	504	0.818181818181818	0.184898122405009	0.796416938110749
merge035	CENPN	yellow	616	0.626802666236726	62	0.100649350649351	0.560635444005557	0.0553745928338762
merge035	AUTS2	brown	757	0.579444245349834	160	0.211360634081902	0.383320136383202	0.305151915455746
merge035	SLC35B3	grey	NA	NA	NA	NA	NA	NA
merge035	FNDC3A	grey	NA	NA	NA	NA	NA	NA
merge035	SEC23IP	brown	757	0.538798077011967	227	0.299867899603699	0.398201567942513	0.261558784676354
merge035	MGRN1	brown	757	0.577429485190932	164	0.21664464993395	0.396974475524084	0.266842800528402
merge035	ZMAT5	grey	NA	NA	NA	NA	NA	NA
merge035	TOR1A	blue	849	0.486082629579216	345	0.406360424028269	0.425841761149857	0.299175500588928
merge035	ACP5	turquoise	918	0.703492211050495	54	0.0588235294117647	0.323560527456158	0.367903930131004
merge035	MAEA	blue	849	0.347118050199052	700	0.824499411071849	0.243750773467116	0.752650176678445
merge035	DIDO1	turquoise	918	0.333631134825671	806	0.877995642701525	0.129697216623631	0.784934497816594
merge035	NCCRP1	magenta	56	0.514349626466273	33	0.589285714285714	0.20850328337244	0.696428571428571
merge035	TMEM125	grey	NA	NA	NA	NA	NA	NA
merge035	HCCS	blue	849	0.538406432901696	230	0.270906949352179	0.495724757082967	0.16489988221437
merge035	GOLIM4	grey	NA	NA	NA	NA	NA	NA
merge035	IGLV3-25	grey	NA	NA	NA	NA	NA	NA
merge035	NPRL3	blue	849	0.363689023938002	653	0.769140164899882	0.0352303218541321	0.96113074204947
merge035	GALNT11	grey	NA	NA	NA	NA	NA	NA
merge035	PAPSS2	grey	NA	NA	NA	NA	NA	NA
merge035	KIF13B	turquoise	918	0.645182594637122	113	0.123093681917211	0.379644747805547	0.263100436681223
merge035	GASK1B	turquoise	918	0.585161145900732	205	0.223311546840959	0.423751030842572	0.186681222707424
merge035	PIAS3	turquoise	918	0.371081773996728	709	0.772331154684096	0.197469671588872	0.643013100436681
merge035	TKFC	grey	NA	NA	NA	NA	NA	NA
merge035	LTV1	blue	849	0.412322320489276	526	0.619552414605418	0.437663790335867	0.269729093050648
merge035	CCDC28A	turquoise	918	0.459377346038894	447	0.486928104575163	0.0461517446907598	0.896288209606987
merge035	ZNF622	red	213	0.49376875919696	131	0.615023474178404	0.324046338605037	0.363207547169811
merge035	SLC22A5	turquoise	918	0.76575070133073	21	0.0228758169934641	0.336051399734675	0.341703056768559
merge035	ADD1	turquoise	918	0.439808726657509	507	0.552287581699346	0.293016669168497	0.436681222707424
merge035	MACIR	turquoise	918	0.489389943286614	363	0.395424836601307	0.40481228600765	0.220524017467249
merge035	CYP20A1	grey	NA	NA	NA	NA	NA	NA
merge035	YJU2B	grey	NA	NA	NA	NA	NA	NA
merge035	RCHY1	grey	NA	NA	NA	NA	NA	NA
merge035	PEX11A	brown	757	0.318325893086948	700	0.924702774108322	0.266879414727579	0.669749009247028
merge035	LLPH	red	213	0.714774904717148	35	0.164319248826291	0.187545649202242	0.69811320754717
merge035	UBE2D4	grey	NA	NA	NA	NA	NA	NA
merge035	PPP2CB	brown	757	0.46300920970688	393	0.519154557463672	0.269245217698869	0.660501981505945
merge035	DPF2	blue	849	0.374062459495616	626	0.737338044758539	-0.0178474615036672	0.985865724381625
merge035	PRPF3	grey	NA	NA	NA	NA	NA	NA
merge035	ATAD1	grey	NA	NA	NA	NA	NA	NA
merge035	UBXN2A	grey	NA	NA	NA	NA	NA	NA
merge035	AP3B1	turquoise	918	0.26764725117197	903	0.983660130718954	0.0780488293791949	0.867903930131004
merge035	MAPK6	grey	NA	NA	NA	NA	NA	NA
merge035	TRPC4AP	grey	NA	NA	NA	NA	NA	NA
merge035	MTF2	grey	NA	NA	NA	NA	NA	NA
merge035	AKIP1	grey	NA	NA	NA	NA	NA	NA
merge035	PRPF18	yellow	616	0.33839758232324	509	0.826298701298701	0.136419323627263	0.877850162866449
merge035	AKR1C1	yellow	616	0.335004862332952	511	0.829545454545455	0.144989554882741	0.859934853420195
merge035	E4F1	brown	757	0.413295352307669	530	0.700132100396301	0.28786964942383	0.611624834874505
merge035	MRPL44	blue	849	0.379593904567139	612	0.720848056537102	0.39002700194408	0.389870435806832
merge035	EIF2B3	blue	849	0.531494278317172	244	0.287396937573616	0.353059520169481	0.48527679623086
merge035	PDPK1	brown	757	0.462393520932709	395	0.521796565389696	0.338453637100031	0.450462351387054
merge035	DHRS1	grey	NA	NA	NA	NA	NA	NA
merge035	ZNF770	grey	NA	NA	NA	NA	NA	NA
merge035	RIMOC1	brown	757	0.443487171276951	445	0.587846763540291	0.244008774357553	0.729194187582563
merge035	SLC7A8	turquoise	918	0.656209520453384	101	0.110021786492375	0.535712197303718	0.074235807860262
merge035	TTLL7	grey	NA	NA	NA	NA	NA	NA
merge035	SUPT20H	grey	NA	NA	NA	NA	NA	NA
merge035	TPRA1	grey	NA	NA	NA	NA	NA	NA
merge035	CWC25	turquoise	918	0.3497115512969	767	0.835511982570806	-0.0267167136040408	0.955240174672489
merge035	CTNNBL1	blue	849	0.511703915388889	294	0.346289752650177	0.139393613598355	0.88339222614841
merge035	MRPS9	blue	849	0.434498556351173	471	0.554770318021201	0.442197541843145	0.256772673733804
merge035	KPNA6	grey	NA	NA	NA	NA	NA	NA
merge035	TCTN3	grey	NA	NA	NA	NA	NA	NA
merge035	RBM26	grey	NA	NA	NA	NA	NA	NA
merge035	RNF24	grey	NA	NA	NA	NA	NA	NA
merge035	SEMA3B	turquoise	918	0.63201189628265	137	0.149237472766885	0.330724543562807	0.350436681222707
merge035	HPF1	blue	849	0.485659850522241	348	0.409893992932862	0.354641981801984	0.480565371024735
merge035	AHNAK2	yellow	616	0.272432928068432	560	0.909090909090909	0.24388028406233	0.664495114006515
merge035	IGLC3	blue	849	0.635273078872084	102	0.120141342756184	0.156096452589745	0.875147232037691
merge035	HRAS	grey	NA	NA	NA	NA	NA	NA
merge035	FTSJ1	grey	NA	NA	NA	NA	NA	NA
merge035	CDS2	turquoise	918	0.350198920827048	765	0.833333333333333	0.252462366698807	0.528384279475983
merge035	CTR9	turquoise	918	0.392280241971	657	0.715686274509804	0.468231313827713	0.12882096069869
merge035	CDCP1	grey	NA	NA	NA	NA	NA	NA
merge035	RABEP2	brown	757	0.462029597217546	399	0.527080581241744	0.304875161519409	0.550858652575958
merge035	PPM1A	turquoise	918	0.334047012571031	804	0.875816993464052	0.308265878313255	0.405021834061135
merge035	ERICH1	grey	NA	NA	NA	NA	NA	NA
merge035	RNF138	grey	NA	NA	NA	NA	NA	NA
merge035	WASH9P	turquoise	918	0.433889356592023	527	0.574074074074074	NA	NA
merge035	MAN1B1	grey	NA	NA	NA	NA	NA	NA
merge035	CNST	brown	757	0.724253804554729	16	0.0211360634081902	0.286153543542281	0.614266842800528
merge035	FKBP5	grey	NA	NA	NA	NA	NA	NA
merge035	SSH3	turquoise	918	0.537137845458828	269	0.293028322440087	0.316809181646493	0.38646288209607
merge035	NOL11	green	227	0.347862119977211	218	0.960352422907489	0.398452911211106	0.26431718061674
merge035	TMC6	green	227	0.358590540786932	214	0.94273127753304	0.295306909303813	0.60352422907489
merge035	RILPL2	grey	NA	NA	NA	NA	NA	NA
merge035	HCG18	brown	757	0.517971188656735	273	0.360634081902246	0.310258082756011	0.533685601056803
merge035	NKIRAS2	grey	NA	NA	NA	NA	NA	NA
merge035	CHST12	red	213	0.381389504450644	192	0.901408450704225	0.289574114116635	0.471698113207547
merge035	SWAP70	brown	757	0.523432822976283	258	0.340819022457067	0.356022783512574	0.396301188903567
merge035	TRMT1	grey	NA	NA	NA	NA	NA	NA
merge035	CRYZ	turquoise	918	0.424555248810867	558	0.607843137254902	0.161067774363517	0.725982532751092
merge035	FKBP9	grey	NA	NA	NA	NA	NA	NA
merge035	ATP8B1	brown	757	0.507389983735386	302	0.398943196829591	0.460866261197783	0.124174372523118
merge035	ARHGAP32	brown	757	0.618529760942875	100	0.132100396301189	0.43011412727655	0.187582562747688
merge035	CST6	magenta	56	0.463868967091206	39	0.696428571428571	0.10274210838305	0.892857142857143
merge035	CXCR4	yellow	616	0.202149854927198	586	0.951298701298701	0.403649206841656	0.278501628664495
merge035	RNF103	brown	757	0.552934190598721	198	0.261558784676354	0.340945572253061	0.446499339498019
merge035	LAMB2	brown	757	0.51831807444907	271	0.357992073976222	0.269817771376548	0.657859973579921
merge035	ZC3H14	green	227	0.441619574374639	160	0.704845814977974	0.391520925103383	0.281938325991189
merge035	KPNA1	grey	NA	NA	NA	NA	NA	NA
merge035	TCIRG1	turquoise	918	0.357650728485552	741	0.80718954248366	0.26044634291028	0.504366812227074
merge035	SMC6	yellow	616	0.456114479300259	317	0.51461038961039	0.346988045712219	0.41042345276873
merge035	DYM	grey	NA	NA	NA	NA	NA	NA
merge035	TBCC	blue	849	0.601305081682039	131	0.154299175500589	0.362618201796369	0.461719670200236
merge035	FUCA1	turquoise	918	0.440367174615221	504	0.549019607843137	0.255232011329187	0.520742358078603
merge035	CENPV	yellow	616	0.507026242809031	229	0.371753246753247	0.228364018531965	0.697068403908795
merge035	ARHGAP35	brown	757	0.585435358330219	146	0.192866578599736	0.404794824250474	0.248348745046235
merge035	OPA1	grey	NA	NA	NA	NA	NA	NA
merge035	IRF2	grey	NA	NA	NA	NA	NA	NA
merge035	LIMD2	blue	849	0.406242124219713	540	0.636042402826855	0.236980231007416	0.76678445229682
merge035	SLC27A5	grey	NA	NA	NA	NA	NA	NA
merge035	ZNF277	black	170	0.327093437110756	158	0.929411764705882	0.179840394244053	0.676470588235294
merge035	GATAD2B	brown	757	0.407989559001724	541	0.714663143989432	0.325292011891268	0.492734478203435
merge035	DUSP3	brown	757	0.349522335260527	656	0.866578599735799	0.405953339609233	0.241743725231176
merge035	N4BP3	turquoise	918	0.590903932686495	195	0.212418300653595	0.193825816217082	0.649563318777293
merge035	RPA1	blue	849	0.332622268438809	738	0.869257950530035	0.224454508197792	0.787985865724382
merge035	KPNA3	grey	NA	NA	NA	NA	NA	NA
merge035	USP36	brown	757	0.341945193498831	666	0.879788639365918	0.308653080031046	0.536327608982827
merge035	LPIN1	yellow	616	0.321339460315506	532	0.863636363636364	0.265565876131187	0.60586319218241
merge035	TIMM22	blue	849	0.301278727526908	788	0.928150765606596	0.325245282185915	0.554770318021201
merge035	MLLT10	grey	NA	NA	NA	NA	NA	NA
merge035	UFSP2	grey	NA	NA	NA	NA	NA	NA
merge035	PVT1	grey	NA	NA	NA	NA	NA	NA
merge035	RNF146	blue	849	0.367191486263059	644	0.758539458186101	0.126311425397558	0.897526501766785
merge035	RNF216	grey	NA	NA	NA	NA	NA	NA
merge035	RANGAP1	grey	NA	NA	NA	NA	NA	NA
merge035	PIERCE1	turquoise	918	0.657496490861997	100	0.108932461873638	0.446900339849261	0.155021834061135
merge035	PREP	grey	NA	NA	NA	NA	NA	NA
merge035	RSPRY1	grey	NA	NA	NA	NA	NA	NA
merge035	TFRC	brown	757	0.388072854083327	593	0.78335535006605	0.0794135723537992	0.927344782034346
merge035	PACSIN2	grey	NA	NA	NA	NA	NA	NA
merge035	HMBS	yellow	616	0.474322803137783	285	0.462662337662338	0.252076946347154	0.628664495114006
merge035	HARS1	blue	849	0.442013196465965	451	0.531213191990577	0.237768013467032	0.765606595995289
merge035	ACACA	brown	757	0.418736681427293	511	0.675033025099075	0.262066527174325	0.677675033025099
merge035	RAF1	grey	NA	NA	NA	NA	NA	NA
merge035	EOLA1	turquoise	918	0.369783869621839	712	0.775599128540305	0.268509163983454	0.487991266375546
merge035	FKBP14	grey	NA	NA	NA	NA	NA	NA
merge035	IGHA1	blue	849	0.461567034877306	404	0.47585394581861	0.130912650423799	0.890459363957597
