gene	stable_gene_id	partition_cancer	top_celltype_cancer	runner_celltype_cancer	top_gap_cancer	bootstrap_top_frequency_cancer	bootstrap_valid_cancer	n_eligible_celltypes_cancer	status_cancer	reason_cancer	partition_adj_benign	top_celltype_adj_benign	runner_celltype_adj_benign	top_gap_adj_benign	bootstrap_top_frequency_adj_benign	bootstrap_valid_adj_benign	n_eligible_celltypes_adj_benign	status_adj_benign	reason_adj_benign	same_study_not_independent
SLC47A1	HGNC:25588	cancer	CAFs	SMCs	0.04034388459598025	1.0	1000	10	DONE	descriptive_only	adj_benign	CAFs	SMCs	0.041889811579424605	1.0	1000	10	DONE	descriptive_only	True
SLC47A2	HGNC:26439	cancer	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	adj_benign	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	True
SLC6A6	HGNC:11052	cancer	Myeloid	T-cells	0.13123070740451415	1.0	1000	10	DONE	descriptive_only	adj_benign	Myeloid	T-cells	0.13971526026725767	1.0	1000	10	DONE	descriptive_only	True
SLC6A8	HGNC:11055	cancer	SMCs	PNS_glial	0.004554083198308939	0.579	1000	10	DONE	descriptive_only	adj_benign	PNS_glial	SMCs	0.011040499185522412	0.549	1000	10	DONE	descriptive_only	True
SLC7A11	HGNC:11059	cancer	Epithelial_malignant	Myeloid	0.02287727647241862	0.927	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Myeloid	0.028961377284888706	0.813	1000	10	DONE	descriptive_only	True
SOAT1	HGNC:11177	cancer	Epithelial_malignant	Myeloid	0.1546988543780411	1.0	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Myeloid	0.12544681043142364	0.965	1000	10	DONE	descriptive_only	True
SOAT2	HGNC:11178	cancer	CAFs	T-cells	0.009802213829243556	0.9896694214876033	968	10	DONE	descriptive_only	adj_benign	T-cells	CAFs	0.0005122446866992585	0.4108187134502924	684	10	DONE	descriptive_only	True
STS	HGNC:11425	cancer	PNS_glial	CAFs	0.04496669839136302	0.999	1000	10	DONE	descriptive_only	adj_benign	PNS_glial	Epithelial_altered_benign	0.10281402096152306	0.909	1000	10	DONE	descriptive_only	True
SUGCT	HGNC:16001	cancer	Epithelial_malignant	SMCs	0.024654808701883416	0.808	1000	10	DONE	descriptive_only	adj_benign	SMCs	Epithelial_normal	0.012489878337475512	0.935	1000	10	DONE	descriptive_only	True
SULT2A1	HGNC:11458	cancer	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	adj_benign	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	True
UPP1	HGNC:12576	cancer	Myeloid	Endothelial	0.12229427695274353	0.999	1000	10	DONE	descriptive_only	adj_benign	Myeloid	Endothelial	0.2126716385285059	0.999	1000	10	DONE	descriptive_only	True
UPP2	HGNC:23061	cancer	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	adj_benign	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	True
XDH	HGNC:12805	cancer	Epithelial_normal	Epithelial_altered_benign	0.015839545669344566	0.995	1000	10	DONE	descriptive_only	adj_benign	Epithelial_normal	Epithelial_altered_benign	7.15809785539201e-05	0.51	1000	10	DONE	descriptive_only	True
