pathway_id	pathway	background	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
hsa00310	Lysine degradation	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	52	1	1.1466635773864688	0.5869115564498651	EHHADH	DONE	NOMINAL_P_ONLY	False
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	52	1	1.1466635773864688	0.5869115564498651	PLCG2	DONE	NOMINAL_P_ONLY	False
hsa01524	Platinum drug resistance	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	53	1	1.1250284155489885	0.5939130554930881	MAP3K5	DONE	NOMINAL_P_ONLY	False
hsa04640	Hematopoietic cell lineage	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	36	1	1.1176603432700993	0.5971909792479757	ANPEP	DONE	NOMINAL_P_ONLY	False
hsa04621	NOD-like receptor signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	119	2	1.0021261516654856	0.5983876653671296	MYD88;NEK7	DONE	NOMINAL_P_ONLY	False
hsa04380	Osteoclast differentiation	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	81	2	0.9934758606845328	0.6031857338846532	ITPR2;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa00480	Glutathione metabolism	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	37	1	1.0874533069655021	0.6072755527371883	ANPEP	DONE	NOMINAL_P_ONLY	False
hsa05161	Hepatitis B	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	122	2	0.9774837053130555	0.6120842438356825	E2F1;MYD88	DONE	NOMINAL_P_ONLY	False
hsa00620	Pyruvate metabolism	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	38	1	1.0588361146769363	0.6171096543278483	HAGH	DONE	NOMINAL_P_ONLY	False
hsa05166	Human T-cell leukemia virus 1 infection	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	171	4	0.94118765749061	0.6206356422239124	ANAPC2;CREB3L1;EGR2;MAD1L1	DONE	NOMINAL_P_ONLY	False
hsa00600	Sphingolipid metabolism	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	39	1	1.031686470710861	0.6266994552884837	PLPP1	DONE	NOMINAL_P_ONLY	False
