pathway	pval	log2err	ES	NES	size	leadingEdge	pathway_id	selected	status	reason
Gap junction	0.0464913808114226	0.087188756630299	-0.373336946276101	-1.41107309013087	52	ITPR2;PDGFA;PRKCG;TUBB4B;TUBA1C;PRKG1;MAPK3;MAP2K2;TUBA1A;TUBA4A;PLCB3	hsa04540	TRUE	DONE	NOMINAL_P_ONLY
Ether lipid metabolism	0.0475326560232221	0.0880409553363699	-0.447176756521729	-1.46727293554721	27	PLPP1;PAFAH1B2;GAL3ST1;PLA2G12B;PLA2G10;PAFAH1B3;AGPS;PLA2G3;PLPP2;PLD1;PAFAH2;PLA2G2A;LPCAT4	hsa00565	TRUE	DONE	NOMINAL_P_ONLY
Pancreatic cancer	0.0486577181208054	0.100350475629529	0.331236855615609	1.37368325075926	64	CDC42;E2F1;BCL2L1;BAX;CDK4;TGFA;EGFR;RAC1;CDK6;KRAS;POLK;MAP2K1;CDKN2A;IKBKB;RALA;SMAD2;CCND1	hsa05212	TRUE	DONE	NOMINAL_P_ONLY
Lipid and atherosclerosis	0.0489227280090718	0.0818244882946139	-0.291017743194203	-1.30618730901739	142	JUN;HSPA1B;CYBA;HSPA1A;NFKBIA;TNFSF10;PYCARD;ABCA1;FOS;TRAF2;ABCG1;MAPK3;DDIT3;IKBKE;HSPA6;MMP9;TNFRSF1A;BAD;PPARG;VAV3;AKT2;PPP3CB;PLCB3;XBP1;IRF3;CASP6;MAP2K3;ATF4	hsa05417	TRUE	DONE	NOMINAL_P_ONLY
Oocyte meiosis	0.0500613496932515	0.100098503124201	0.304315181818393	1.32805852520261	85	YWHAG;MAD2L1;CCNB2;PPP1CC;YWHAH;CALM1;YWHAQ;PTTG1;YWHAB;MAP2K1;PPP2R5E;REC8;YWHAE;FBXW11;RPS6KA2;PPP3CA;PPP1CA;CDC20;ANAPC7;ANAPC13;CDK1;MAPK1;CDC16	hsa04114	FALSE	DONE	NOMINAL_P_ONLY
Growth hormone synthesis, secretion and action	0.0510551395507148	0.0821057009024537	-0.332787972228419	-1.3645771790524	79	ITPR2;JUNB;PRKCG;SHC2;FOS;MAPK3;STAT1;CREB3L1;SSTR1;MAP2K2;SOCS3;AKT2;PLCB3;MAP2K3;ATF4;SOCS1;CACNA1D	hsa04935	FALSE	DONE	NOMINAL_P_ONLY
Fructose and mannose metabolism	0.0591672753834916	0.0789035841438956	-0.442671016529135	-1.43705548095583	26	ALDOB;PFKL;ENOSF1;AKR1B10;SORD;AKR1B1;ALDOA;HK1;PFKP;PMM1;FUK;TSTA3;HKDC1;GMPPA;MPI;KHK	hsa00051	FALSE	DONE	NOMINAL_P_ONLY
Polycomb repressive complex	0.0592216582064298	0.0911296779883595	0.315261461765884	1.33899100814338	72	SUZ12;TFDP1;PCGF5;AEBP2;MTF2;CBX3;PHC2;PHC3;LCOR;EED;EZH2;DCAF7;USP7;MGA;BCOR;HDAC2;CSNK2B;WDR5;SCMH1;OGT	hsa03083	FALSE	DONE	NOMINAL_P_ONLY
Epithelial cell signaling in Helicobacter pylori infection	0.0610471941770369	0.0883886491452962	0.340890354268914	1.35385441706858	52	ADAM17;TJP1;PLCG2;CDC42;MET;EGFR;RAC1;F11R;ATP6V1A;LYN;IKBKB;CSK;PTPN11;ATP6V0D1;MAP2K4;ATP6V0B;ATP6V1D;ATP6V0E2;NFKB1	hsa05120	FALSE	DONE	NOMINAL_P_ONLY
Renal cell carcinoma	0.0630311614730878	0.087188756630299	0.334841031166579	1.35217530535322	56	SLC2A1;EPAS1;CDC42;SOS1;EGLN1;TGFA;MET;RAC1;CUL2;KRAS;MAP2K1;PTPN11	hsa05211	FALSE	DONE	NOMINAL_P_ONLY
Acute myeloid leukemia	0.0659851301115242	0.0844603778325338	0.344311063839645	1.35235170440734	49	PIM1;EIF4EBP1;SOS1;KRAS;KIT;MAP2K1;IKBKB;PPARD;CD14;STAT5B;DUSP6;CCND1;PML	hsa05221	FALSE	DONE	NOMINAL_P_ONLY
MicroRNAs in cancer	0.0669250645994832	0.0885639937858774	0.272408245898202	1.26449612395467	125	PTGS2;PIM1;CDC25B;SERPINB5;PLCG2;E2F1;SOS1;MCL1;MET;EGFR;CDK6;IRS1;KRAS;NOTCH2;STMN1;DICER1;MAP2K1;CDKN2A;IKBKB;MDM4;RHOA;SLC7A1;TIMP3;HNRNPK;CCND1;EZH2	hsa05206	FALSE	DONE	NOMINAL_P_ONLY
C-type lectin receptor signaling pathway	0.067887372603213	0.0713773181547492	-0.335694739796783	-1.33612444136206	68	JUN;NFKBIA;ITPR2;EGR2;IRF1;BCL3;PYCARD;RRAS;MAPK3;STAT1;IKBKE;AKT2;PPP3CB	hsa04625	FALSE	DONE	NOMINAL_P_ONLY
Pancreatic secretion	0.0710775710775711	0.0702666782298212	-0.362995479682511	-1.35489603211183	49	PRSS2;ITPR2;PRKCG;PLA2G12B;PLA2G10;PLCB3;CEL;PLA2G3;CHRM3;ATP1A1	hsa04972	FALSE	DONE	NOMINAL_P_ONLY
Regulation of actin cytoskeleton	0.078468130690948	0.0831123213823906	0.258716041468931	1.23481771431824	151	PPP1CC;RGCC;ITGAE;ACTB;ACTR3;ITGB1;CDC42;FAM49B;SOS1;NCKAP1;PIP5K1B;ITGAV;ARHGEF12;ARPC2;EGFR;RAC1;KRAS;MYL12B;FGF2;ITGB4;MAP2K1;PIP4K2B;RHOA;PIP4K2C;ITGA2;WASF1;PAK2;C8G;ACTR2	hsa04810	FALSE	DONE	NOMINAL_P_ONLY
