gene	kegg_gene	candidate_ids	status	in_any_pathway
FASN	hsa:2194	hsa:2194	PRIMARY_SYMBOL	True
FBXO30	hsa:84085	hsa:84085	PRIMARY_SYMBOL	False
SEL1L3	hsa:23231	hsa:23231	PRIMARY_SYMBOL	False
MYO5C	hsa:55930	hsa:55930	PRIMARY_SYMBOL	True
AC087241.3			UNMAPPED	False
C3orf62	hsa:375341	hsa:375341	PRIMARY_SYMBOL	False
ZNF12	hsa:7559	hsa:7559	PRIMARY_SYMBOL	False
GMPPB	hsa:29925	hsa:29925	PRIMARY_SYMBOL	True
SLC2A10	hsa:81031	hsa:81031	PRIMARY_SYMBOL	False
MDH1	hsa:4190	hsa:4190	PRIMARY_SYMBOL	True
KLF16	hsa:83855	hsa:83855	PRIMARY_SYMBOL	False
CALM2	hsa:805	hsa:805	PRIMARY_SYMBOL	True
C6orf47	hsa:57827	hsa:57827	PRIMARY_SYMBOL	False
MICAL3	hsa:57553	hsa:57553	PRIMARY_SYMBOL	False
PXN	hsa:5829	hsa:5829	PRIMARY_SYMBOL	True
AC104532.2			UNMAPPED	False
PTBP2	hsa:58155	hsa:58155	PRIMARY_SYMBOL	False
HOXB6	hsa:3216	hsa:3216	PRIMARY_SYMBOL	False
MAGOH	hsa:4116	hsa:4116	PRIMARY_SYMBOL	True
TMEM220	hsa:388335	hsa:388335	PRIMARY_SYMBOL	False
TUBGCP3	hsa:10426	hsa:10426	PRIMARY_SYMBOL	False
MRPL9	hsa:65005	hsa:65005	PRIMARY_SYMBOL	True
SPOP	hsa:8405	hsa:8405	PRIMARY_SYMBOL	True
LGALS7B	hsa:653499	hsa:653499	PRIMARY_SYMBOL	False
CHD1L	hsa:9557	hsa:9557	PRIMARY_SYMBOL	False
AURKA	hsa:6790	hsa:6790	PRIMARY_SYMBOL	True
PITPNM2	hsa:57605	hsa:57605	PRIMARY_SYMBOL	False
SP3	hsa:6670	hsa:6670	PRIMARY_SYMBOL	False
HIST1H2BE		hsa:3017;hsa:8344	AMBIGUOUS	False
MALT1	hsa:10892	hsa:10892	PRIMARY_SYMBOL	True
CEP112	hsa:201134	hsa:201134	PRIMARY_SYMBOL	False
ARL3	hsa:403	hsa:403	PRIMARY_SYMBOL	False
ARNT	hsa:405	hsa:405	PRIMARY_SYMBOL	True
GPC1	hsa:2817	hsa:2817	PRIMARY_SYMBOL	True
WDR27	hsa:253769	hsa:253769	PRIMARY_SYMBOL	False
PI4K2B	hsa:55300	hsa:55300	PRIMARY_SYMBOL	True
NOS3	hsa:4846	hsa:4846	PRIMARY_SYMBOL	True
RCHY1	hsa:25898	hsa:25898	PRIMARY_SYMBOL	True
GEMIN8	hsa:54960	hsa:54960	PRIMARY_SYMBOL	False
ARAP2	hsa:116984	hsa:116984	PRIMARY_SYMBOL	True
KMT2C	hsa:58508	hsa:58508	PRIMARY_SYMBOL	True
PLEKHA8	hsa:84725	hsa:84725	PRIMARY_SYMBOL	False
SAP25	hsa:100316904	hsa:100316904	PRIMARY_SYMBOL	False
MMD	hsa:23531	hsa:23531	PRIMARY_SYMBOL	False
MTMR12	hsa:54545	hsa:54545	PRIMARY_SYMBOL	False
GATA2-AS1	hsa:101927167	hsa:101927167	PRIMARY_SYMBOL	False
GIT1	hsa:28964	hsa:28964	PRIMARY_SYMBOL	True
CCDC183	hsa:84960	hsa:84960	PRIMARY_SYMBOL	False
RAB40B	hsa:10966	hsa:10966	PRIMARY_SYMBOL	False
TTC5	hsa:91875	hsa:91875	PRIMARY_SYMBOL	False
HLA-DRB5	hsa:3127	hsa:3127	PRIMARY_SYMBOL	True
SH3GL1	hsa:6455	hsa:6455	PRIMARY_SYMBOL	True
MSH6	hsa:2956	hsa:2956	PRIMARY_SYMBOL	True
NKAP	hsa:79576	hsa:79576	PRIMARY_SYMBOL	False
EFCAB14	hsa:9813	hsa:9813	PRIMARY_SYMBOL	False
OSBPL3	hsa:26031	hsa:26031	PRIMARY_SYMBOL	True
RHPN2	hsa:85415	hsa:85415	PRIMARY_SYMBOL	False
ENKD1	hsa:84080	hsa:84080	PRIMARY_SYMBOL	False
AP001816.1			UNMAPPED	False
GORASP1	hsa:64689	hsa:64689	PRIMARY_SYMBOL	True
RERE	hsa:473	hsa:473	PRIMARY_SYMBOL	True
AK9	hsa:221264	hsa:221264	PRIMARY_SYMBOL	True
NBPF12	hsa:149013	hsa:149013	PRIMARY_SYMBOL	False
FAM118B	hsa:79607	hsa:79607	PRIMARY_SYMBOL	False
GALNT11	hsa:63917	hsa:63917	PRIMARY_SYMBOL	True
PACS2	hsa:23241	hsa:23241	PRIMARY_SYMBOL	False
STARD4	hsa:134429	hsa:134429	PRIMARY_SYMBOL	False
TTK	hsa:7272	hsa:7272	PRIMARY_SYMBOL	True
SIAH1	hsa:6477	hsa:6477	PRIMARY_SYMBOL	True
USF2	hsa:7392	hsa:7392	PRIMARY_SYMBOL	False
ZBTB10	hsa:65986	hsa:65986	PRIMARY_SYMBOL	False
TRMT61A	hsa:115708	hsa:115708	PRIMARY_SYMBOL	False
UAP1L1	hsa:91373	hsa:91373	PRIMARY_SYMBOL	True
MARF1	hsa:9665	hsa:9665	PRIMARY_SYMBOL	False
UNC50	hsa:25972	hsa:25972	PRIMARY_SYMBOL	False
SINHCAF	hsa:58516	hsa:58516	PRIMARY_SYMBOL	False
CD3E	hsa:916	hsa:916	PRIMARY_SYMBOL	True
ASS1	hsa:445	hsa:445	PRIMARY_SYMBOL	True
BBIP1	hsa:92482	hsa:92482	PRIMARY_SYMBOL	False
GPR35	hsa:2859	hsa:2859	PRIMARY_SYMBOL	True
MAPRE1	hsa:22919	hsa:22919	PRIMARY_SYMBOL	False
SLC25A38	hsa:54977	hsa:54977	PRIMARY_SYMBOL	False
PLEKHG5	hsa:57449	hsa:57449	PRIMARY_SYMBOL	True
ARAF	hsa:369	hsa:369	PRIMARY_SYMBOL	True
MAPKAP1	hsa:79109	hsa:79109	PRIMARY_SYMBOL	True
ZNF414	hsa:84330	hsa:84330	PRIMARY_SYMBOL	False
DNM1L	hsa:10059	hsa:10059	PRIMARY_SYMBOL	True
FOXP4	hsa:116113	hsa:116113	PRIMARY_SYMBOL	False
SPINT1-AS1			UNMAPPED	False
ZNF106	hsa:64397	hsa:64397	PRIMARY_SYMBOL	False
EIF4E2	hsa:9470	hsa:9470	PRIMARY_SYMBOL	True
PMPCA	hsa:23203	hsa:23203	PRIMARY_SYMBOL	False
PHF10	hsa:55274	hsa:55274	PRIMARY_SYMBOL	True
PTMS	hsa:5763	hsa:5763	PRIMARY_SYMBOL	False
HNRNPH3	hsa:3189	hsa:3189	PRIMARY_SYMBOL	False
ETV3	hsa:2117	hsa:2117	PRIMARY_SYMBOL	False
RNF149	hsa:284996	hsa:284996	PRIMARY_SYMBOL	False
MRRF	hsa:92399	hsa:92399	PRIMARY_SYMBOL	False
RIPOR1	hsa:79567	hsa:79567	PRIMARY_SYMBOL	False
PRRG2	hsa:5639	hsa:5639	PRIMARY_SYMBOL	False
MOV10	hsa:4343	hsa:4343	PRIMARY_SYMBOL	False
PTPRU	hsa:10076	hsa:10076	PRIMARY_SYMBOL	False
SPINK5	hsa:11005	hsa:11005	PRIMARY_SYMBOL	False
TTC7B	hsa:145567	hsa:145567	PRIMARY_SYMBOL	False
MOB1A	hsa:55233	hsa:55233	PRIMARY_SYMBOL	True
CRIPT	hsa:9419	hsa:9419	PRIMARY_SYMBOL	False
ACTR6	hsa:64431	hsa:64431	PRIMARY_SYMBOL	True
SLC7A11	hsa:23657	hsa:23657	PRIMARY_SYMBOL	True
ACSL5	hsa:51703	hsa:51703	PRIMARY_SYMBOL	True
DPY19L1	hsa:23333	hsa:23333	PRIMARY_SYMBOL	False
GNAI3	hsa:2773	hsa:2773	PRIMARY_SYMBOL	True
MGAT2	hsa:4247	hsa:4247	PRIMARY_SYMBOL	True
C9orf3	hsa:84909	hsa:84909	UNIQUE_ALIAS	False
SLC27A3	hsa:11000	hsa:11000	PRIMARY_SYMBOL	True
TTC3	hsa:7267	hsa:7267	PRIMARY_SYMBOL	False
