cohort	contrast	direction	library	term	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Late Endosome To Lysosome Transport (GO:1902774)	13204	1491	15	0	1		1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Late Endosome To Vacuole Transport (GO:0045324)	13204	1491	18	1	0.8844723058	VTA1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway (GO:0032511)	13204	1491	24	2	0.7716571886	VPS36;VTA1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Learning (GO:0007612)	13204	1491	21	2	0.7035729212	TH;YTHDF1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Left/Right Pattern Formation (GO:0060972)	13204	1491	20	1	0.9091225326	CITED2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Leukocyte Cell-Cell Adhesion (GO:0007159)	13204	1491	16	3	0.2675717769	EZR;LRG1;ROCK1	0.9137552285	0.8560181971
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Limb Development (GO:0060173)	13204	1491	18	2	0.6193789187	IFT122;KREMEN2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lipid Biosynthetic Process (GO:0008610)	13204	1491	49	6	0.4823133664	GGPS1;HMGCR;LPCAT1;PDSS2;PRLR;XBP1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lipid Droplet Organization (GO:0034389)	13204	1491	25	3	0.5478937629	CDS1;FAF2;PLIN5	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lipid Modification (GO:0030258)	13204	1491	23	4	0.2575699648	DGKH;DGKQ;DGKZ;MBOAT2	0.9007281967	0.8459750124
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lipid Translocation (GO:0034204)	13204	1491	17	3	0.2998715714	ATP11A;ATP8A2;ATP9A	0.9201290671	0.8870317015
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lipid Transport (GO:0006869)	13204	1491	70	11	0.1616768216	ABCA12;ABCC11;ABCD3;CERT1;FABP3;OSBPL2;PRELID3B;RBP7;SLC27A4;SPNS2;VAPA	0.7099063014	0.7074703031
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Liver Development (GO:0001889)	13204	1491	24	5	0.1264057971	AURKA;CITED2;COBL;LSR;XBP1	0.6277441021	0.6386837846
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Long-Chain Fatty Acid Metabolic Process (GO:0001676)	13204	1491	46	9	0.06893986489	ABCD3;ACSL3;AIG1;CYP4Z1;ELOVL2;ELOVL5;GSTM4;MGLL;SLC27A4	0.499445577	0.506313762
