gene	module	kME	rank_in_module
YDJC	grey	NA	NA
ARL8B	grey	NA	NA
CCDC6	grey	NA	NA
SNX5	grey	NA	NA
ARPC4	pink	0.657126943571343	55
CHORDC1	grey	NA	NA
TSPAN1	brown	0.548993811933936	122
MAZ	turquoise	0.472458651204223	380
OFD1	grey	NA	NA
CBR3	cyan	0.382944991792413	49
LARS1	grey	NA	NA
MARCO	green	0.516238892883087	148
RAB34	grey	NA	NA
DHX29	black	0.585256512312721	55
RNPEP	blue	0.455238765606774	332
IK	black	0.574757025141778	58
VPS26A	red	0.63543992189351	62
CALCOCO2	turquoise	0.311642101634151	718
CXCL8	lightcyan	0.289329718399379	27
QSOX1	grey	NA	NA
ATP6V0D1	green	0.432235157055949	252
CNDP2	grey	NA	NA
CXCL10	grey	NA	NA
DLD	blue	0.636239867993902	85
CFDP1	grey	NA	NA
RHOBTB3	black	0.528591779753952	88
GYG1	green	0.586322636921892	84
WIPI2	blue	0.527957679284279	215
LTBP3	brown	0.402596696624984	357
LDLRAD4	turquoise	0.640929047631854	128
MEST	green	0.361137077930675	291
MPV17	blue	0.338230617944292	556
CCNG1	grey	NA	NA
HTATSF1	blue	0.546298061707695	184
PRCC	blue	0.463897845598917	313
TSC22D4	grey	NA	NA
OSBPL1A	grey	NA	NA
CBX1	greenyellow	0.443575828502425	127
LONP2	brown	0.661588125837675	34
CDV3	turquoise	0.317058319879778	708
FNTA	blue	0.492892471511777	271
NTPCR	red	0.515988452001012	119
GALNT7	brown	0.703233985959391	14
NCBP2AS2	blue	0.4034724138674	448
GMDS	grey	NA	NA
PDHA1	green	0.60774939271532	68
RAB5A	red	0.383856793498849	204
DEGS1	grey	NA	NA
CYB5R1	turquoise	0.569334740885102	222
RPL39L	grey	NA	NA
SARS1	blue	0.434546282398748	377
RRAGA	grey	NA	NA
HPRT1	grey	NA	NA
PITHD1	grey	NA	NA
ATIC	grey	NA	NA
RPAIN	grey	NA	NA
SORD	turquoise	0.297974099251083	744
PDZD11	grey	NA	NA
RNF149	turquoise	0.421609253506474	487
SNHG9	magenta	0.531784010906569	79
GNAI3	blue	0.383284266968157	491
DNAJC12	turquoise	0.426829228660541	471
TM7SF3	green	0.442933145795025	245
KYNU	grey	NA	NA
CSNK1D	grey	NA	NA
CHPF	grey	NA	NA
MMP7	salmon	0.598947725222056	36
PPIH	green	0.441705921913833	247
UROS	grey	NA	NA
MTX2	grey	NA	NA
SCGB2B2	grey	NA	NA
SEPTIN11	green	0.466334889593545	218
IER5	yellow	0.63097972968409	68
HLA-DQB1	midnightblue	0.564939008006553	27
FASTK	grey	NA	NA
