cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE278688	author	ADA	Schwann	12	2	0	221	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	ADA	Stellate	13	13	13	2525	2.617247410586913	3.030428079529385	0.08212145582475858	EVALUABLE	8.0
GSE278688	author	AGMAT	Acinar	7	2	2	284	0.8282580279565932	0.8282580279565932	0.015247697286532236	INSUFFICIENT_UNITS	NA
GSE278688	author	AGMAT	B	13	11	11	7396	2.1323147171479984	2.12406168541784	0.02573112821572483	EVALUABLE	1.0
GSE278688	author	AGMAT	CAF	13	13	5	2423	0.23859984788302477	0.0	0.002812677650276895	EVALUABLE	8.0
GSE278688	author	AGMAT	CD4T	13	13	13	16271	1.8328670714715416	1.8856827541863916	0.021537591515431925	EVALUABLE	2.0
GSE278688	author	AGMAT	CD8T	13	13	13	22606	1.2392671377793627	1.3203036784439637	0.008892430853822552	EVALUABLE	3.0
GSE278688	author	AGMAT	Ductal	13	12	10	8370	1.1163333533093922	1.039499547169648	0.017365437687714865	EVALUABLE	4.0
GSE278688	author	AGMAT	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	AGMAT	Endothelial	13	13	4	2011	0.18240236476523497	0.0	0.0017650857823599765	EVALUABLE	9.0
GSE278688	author	AGMAT	Myeloid	13	13	7	5654	0.32672956920344254	0.3223075754273362	0.0029951128105202103	EVALUABLE	7.0
GSE278688	author	AGMAT	NK	13	13	10	3291	1.0719499012370726	1.2023841676171998	0.009545517480724816	EVALUABLE	5.0
GSE278688	author	AGMAT	Plasma	12	6	4	325	1.0006424699772472	1.2292939360486423	0.02822497822497823	EVALUABLE	6.0
GSE278688	author	AGMAT	Schwann	12	2	0	221	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	AGMAT	Stellate	13	13	1	2525	0.017569313464075254	0.0	0.00014486455164421265	LOW_DETECTION	NA
GSE278688	author	AGXT2	Acinar	7	2	0	284	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	AGXT2	B	13	11	0	7396	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	CAF	13	13	0	2423	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	CD4T	13	13	0	16271	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	CD8T	13	13	0	22606	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	Ductal	13	12	0	8370	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	AGXT2	Endothelial	13	13	0	2011	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	Myeloid	13	13	0	5654	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	NK	13	13	0	3291	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	Plasma	12	6	0	325	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AGXT2	Schwann	12	2	0	221	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	AGXT2	Stellate	13	13	0	2525	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AK4	Acinar	7	2	0	284	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	AK4	B	13	11	3	7396	0.16169962278087108	0.0	0.0005874092297984575	EVALUABLE	9.0
GSE278688	author	AK4	CAF	13	13	12	2423	2.1448901974294143	2.1675873501159235	0.06013350591896357	EVALUABLE	4.0
GSE278688	author	AK4	CD4T	13	13	9	16271	0.7166338158967935	0.5140736114822235	0.005162522582079699	EVALUABLE	8.0
GSE278688	author	AK4	CD8T	13	13	12	22606	1.3006989600123442	1.067214015188272	0.00988788591186836	EVALUABLE	6.0
GSE278688	author	AK4	Ductal	13	12	12	8370	3.1197639610626076	3.075239860830756	0.09499244560290603	EVALUABLE	1.0
GSE278688	author	AK4	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	AK4	Endothelial	13	13	13	2011	2.4106788949398115	2.5082061225292867	0.06378594722329853	EVALUABLE	3.0
GSE278688	author	AK4	Myeloid	13	13	13	5654	2.1191751341331657	2.620419210789577	0.04911222944391115	EVALUABLE	5.0
GSE278688	author	AK4	NK	13	13	7	3291	1.0979502555062473	1.4599772626255672	0.012774260096404106	EVALUABLE	7.0
GSE278688	author	AK4	Plasma	12	6	0	325	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AK4	Schwann	12	2	0	221	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	AK4	Stellate	13	13	13	2525	2.753560547604405	2.914959559774919	0.09722472464997801	EVALUABLE	2.0
GSE278688	author	AK9	Acinar	7	2	1	284	0.5343946773321862	0.5343946773321862	0.009708737864077669	INSUFFICIENT_UNITS	NA
GSE278688	author	AK9	B	13	11	11	7396	2.8427143660727596	2.8511099351369698	0.05280101891847047	EVALUABLE	1.0
GSE278688	author	AK9	CAF	13	13	10	2423	1.2049272161836941	1.2208040437360017	0.025490708314684044	EVALUABLE	10.0
GSE278688	author	AK9	CD4T	13	13	13	16271	2.1996543640291346	2.1843831365866033	0.03221218375168561	EVALUABLE	5.0
GSE278688	author	AK9	CD8T	13	13	13	22606	2.1102128862542915	2.196670845310619	0.0253751911125388	EVALUABLE	6.0
GSE278688	author	AK9	Ductal	13	12	12	8370	2.4072196317693186	2.5960553381377247	0.052337300898264	EVALUABLE	3.0
GSE278688	author	AK9	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	AK9	Endothelial	13	13	13	2011	2.3387793465428244	2.2926173984718146	0.06483060778837199	EVALUABLE	4.0
GSE278688	author	AK9	Myeloid	13	13	13	5654	1.6431319137111395	1.6084239930491684	0.026826179936856567	EVALUABLE	9.0
GSE278688	author	AK9	NK	13	13	13	3291	2.4401803856267845	2.4491824121845207	0.04677620610851479	EVALUABLE	2.0
GSE278688	author	AK9	Plasma	12	6	6	325	1.997843033451818	1.9127385830316928	0.06446121446121446	EVALUABLE	7.0
GSE278688	author	AK9	Schwann	12	2	1	221	1.813952548165031	1.813952548165031	0.07661290322580645	INSUFFICIENT_UNITS	NA
GSE278688	author	AK9	Stellate	13	13	12	2525	1.958361039415035	2.0240210820597526	0.04993058615454322	EVALUABLE	8.0
GSE278688	author	AKR1A1	Acinar	7	2	2	284	3.793342933250986	3.793342933250986	0.31957928802589	INSUFFICIENT_UNITS	NA
GSE278688	author	AKR1A1	B	13	11	11	7396	4.441972767041687	4.536501511120581	0.23114742445671715	EVALUABLE	6.0
GSE278688	author	AKR1A1	CAF	13	13	13	2423	4.930615579518682	4.987480745344252	0.5034598741795872	EVALUABLE	2.0
GSE278688	author	AKR1A1	CD4T	13	13	13	16271	4.098806464537272	4.092854556956377	0.1941512240019659	EVALUABLE	8.0
GSE278688	author	AKR1A1	CD8T	13	13	13	22606	3.9131214944947885	3.911312701804005	0.1532300908808257	EVALUABLE	10.0
GSE278688	author	AKR1A1	Ductal	13	12	12	8370	4.671733399365762	4.691317156838487	0.32736960181170294	EVALUABLE	4.0
GSE278688	author	AKR1A1	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	AKR1A1	Endothelial	13	13	13	2011	4.41036113471141	4.477223873961693	0.3709474216489787	EVALUABLE	7.0
GSE278688	author	AKR1A1	Myeloid	13	13	13	5654	5.213121820183899	5.23349108020396	0.5296736624794289	EVALUABLE	1.0
GSE278688	author	AKR1A1	NK	13	13	13	3291	4.003530138107362	4.036783098613499	0.19624028012809516	EVALUABLE	9.0
GSE278688	author	AKR1A1	Plasma	12	6	6	325	4.788820896780462	4.845750080245036	0.636088036088036	EVALUABLE	3.0
GSE278688	author	AKR1A1	Schwann	12	2	2	221	4.104225592743514	4.104225592743514	0.24059139784946237	INSUFFICIENT_UNITS	NA
GSE278688	author	AKR1A1	Stellate	13	13	13	2525	4.492465359752324	4.542849268966823	0.4049481709046082	EVALUABLE	5.0
GSE278688	author	AKR1B1	Acinar	7	2	2	284	1.857206494798559	1.857206494798559	0.05234005476723923	INSUFFICIENT_UNITS	NA
GSE278688	author	AKR1B1	B	13	11	11	7396	4.17983690505019	4.20731609327012	0.17851623777219217	EVALUABLE	4.0
GSE278688	author	AKR1B1	CAF	13	13	13	2423	4.339135512088209	4.2408479831392585	0.3532733616765433	EVALUABLE	3.0
GSE278688	author	AKR1B1	CD4T	13	13	13	16271	3.930944693123163	3.9306988422331868	0.17098265942256896	EVALUABLE	6.0
GSE278688	author	AKR1B1	CD8T	13	13	13	22606	4.077820692836112	4.045812595133521	0.17934503491976297	EVALUABLE	5.0
GSE278688	author	AKR1B1	Ductal	13	12	12	8370	3.762386063556491	3.5604176700328676	0.16099344509053246	EVALUABLE	8.0
GSE278688	author	AKR1B1	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
