gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
RAB6A	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.46541936688178676	0.977
RAB6B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.05378470925659394	1.0
RAB7A	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.6420532357540836	0.997
RAB8A	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4677310383929235	0.852
RAB8B	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.13847624905358136	0.622
RAB9A	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4363267665247302	0.488
RAB9B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.011532590958097883	1.0
RAN	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.864987552707248	1.0
RGN	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.014475215948954059	0.627
RHOB	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7976021257842084	0.595
RIMKLA	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.1015967479049968	1.0
RIMKLB	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.11522785278865064	1.0
RNMT	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.20536739687300268	0.989
RPE	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2779121862165048	0.664
RPEL1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0012351062135036997	0.437
RPIA	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5279505303003643	1.0
RRM1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.25660541274051907	1.0
RRM2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.18011429322055156	1.0
RRM2B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.10457824836505934	0.832
SAR1A	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.5969974652750484	1.0
SAR1B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.343944045011492	0.988
SARS1	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SARS2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14072868179802864	1.0
SDHA	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5201782025020293	1.0
SDHB	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6509843021269626	1.0
SDHC	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6850169778245531	0.551
SDHD	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.5260783154116756	0.584
SDS	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3393558256597955	1.0
SDSL	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.2598826320097167	1.0
SELENOI	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SETD1A	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.06649185855384021	0.835
SETD1B	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.03662202260122936	0.959
SETD2	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.08786653456896266	0.976
SETD7	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.211454451289349	1.0
SETDB1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.10176270671978961	0.767
SETDB2	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.08162803831468392	0.992
SETDB2-PHF11	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SETMAR	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.046321532011898724	0.741
SFXN1	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.11664132939230196	0.986
SFXN2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.05903257816658029	0.995
SFXN3	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.29613284523619926	1.0
SFXN5	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08427319220033698	0.983
SHMT1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.17481281700834658	1.0
SHMT2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4953082355061032	1.0
SI	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.014462589405883509	1.0
SLC13A2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.018988114510396004	1.0
