gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn	Lee__source_status	Lee__reason	Lee__display_top	Lee__mechanical_top	Lee__top_n	Lee__top_detection	Lee__bootstrap	Uhlitz__source_status	Uhlitz__reason	Uhlitz__display_top	Uhlitz__mechanical_top	Uhlitz__top_n	Uhlitz__top_detection	Uhlitz__bootstrap
SLC35D4	hsa:85019	True	False	False	True	DONE	0.9041337327006665	9.281549000008855e-07	3.707222119741377e-06	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SLC36A1	hsa:206358	True	True	False	True	DONE	-1.8426968199468388	1.4842731428630842e-10	2.0115807067749695e-09	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.07390339102303548	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.15711336373670406	0.999
SLC36A2	hsa:153201	True	True	False	True	DONE	-0.3325076626231643	0.012799861725048552	0.020255310421122167	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Myeloids	23	0.0001252975817566721	0.5498	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SLC36A4	hsa:120103	True	False	False	True	DONE	0.07525212903462361	0.6855351120985778	0.7264415282526081	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.10990349811167889	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.23813846596317412	1.0
SLC38A1	hsa:81539	True	True	False	True	DONE	-0.015420148027718147	0.9151176019538497	0.9240893431494758	DONE	T cells	Tcells	Tcells	Tcells	True	NA	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.2438599862704778	0.998	DONE	DESCRIPTIVE_ONLY	Tcells	Tcells	12	0.41979234162759593	0.87
SLC38A10	hsa:124565	True	True	False	True	DONE	-0.26408083855624537	0.0021750624045389234	0.004243019463399793	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3128352494276541	1.0	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.3656638726988981	0.758
SLC38A2	hsa:54407	True	True	False	True	DONE	0.15448017682466064	0.2705956080136549	0.31600167375744276	DONE	Stromal cells	Pericytes	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.6422262971790773	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.779472827666376	0.755
SLC38A3	hsa:10991	True	False	False	True	DONE	-0.5480667358739096	0.012728060863402441	0.020231331310655114	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	单主要模型；尚未获得广泛CRC体内证据	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.004953370900892368	0.952	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Monocyte	12	0.0012254901960784314	0.654
SLC38A4	hsa:55089	True	True	False	True	DONE	-1.542644847891881	0.0004162389672373489	0.0009569779827108691	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.007951081761856731	0.912	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial	12	0.009718960121778428	0.534
SLC38A6	hsa:145389	True	True	False	True	DONE	-0.30484325797823913	0.010884800517709394	0.01762790020949792	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.11017264499864549	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.1046730307262287	0.9
