key	field	review_value	pinned_value	status
KEGG:C00319|SPHK1|ER_MonoEndoFib	ER_same_subset_q	0.6776837837837838	0.6776837837837838	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	gene	SPHK1	SPHK1	DONE
KEGG:C00025|SLC7A11|ER_PC12	rho	0.1294947041009422	0.1294947041009422	DONE
KEGG:C00025|SLC7A11|ER_PC12	ci_lower	-0.1856825593143936	-0.1856825593143936	DONE
KEGG:C00025|SLC7A11|ER_PC12	ci_upper	0.4059824610640464	0.4059824610640464	DONE
KEGG:C00025|SLC7A11|ER_PC12	p	0.3208	0.3208	DONE
KEGG:C00025|SLC7A11|ER_PC12	q	0.6796758620689655	0.6796758620689655	DONE
KEGG:C00025|SLC7A11|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00025|SLC7A11|ER_PC12	ER_same_subset_rho	0.2839476239722817	0.2839476239722817	DONE
KEGG:C00025|SLC7A11|ER_PC12	ER_same_subset_q	0.224352	0.224352	DONE
KEGG:C00025|SLC7A11|ER_PC12	gene	SLC7A11	SLC7A11	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	rho	0.1808330513351983	0.1808330513351983	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	ci_lower	-0.1129731288207051	-0.1129731288207051	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	ci_upper	0.4211426312545772	0.4211426312545772	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	p	0.1787	0.1787	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	q	0.636975	0.636975	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	ER_same_subset_rho	0.2839476239722817	0.2839476239722817	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	ER_same_subset_q	0.224352	0.224352	DONE
KEGG:C00025|SLC7A11|ER_MonoEndoFib	gene	SLC7A11	SLC7A11	DONE
GPCPD1	Wu_top	Myeloid	Myeloid	DONE
GPCPD1	Wu_bootstrap_top_frequency	0.998	0.998	DONE
GPCPD1	Wu_runner	T_NK_cells	T_NK_cells	DONE
GPCPD1	Wu_paired_n	26	26	DONE
GPCPD1	Wu_paired_positive_fraction	0.8846153846153846	0.8846153846153846	DONE
GPCPD1	Pal_top	Myeloid	Myeloid	DONE
GPCPD1	Pal_bootstrap_top_frequency	0.996	0.996	DONE
GPCPD1	Pal_runner	Endothelial	Endothelial	DONE
GPCPD1	Pal_paired_n	23	23	DONE
GPCPD1	Pal_paired_positive_fraction	0.6956521739130435	0.6956521739130435	DONE
GPCPD1	two_source_stable_rule	True	True	DONE
GPI	Wu_top	Malignant_epithelial	Malignant_epithelial	DONE
GPI	Wu_bootstrap_top_frequency	0.999	0.999	DONE
GPI	Wu_runner	Perivascular	Perivascular	DONE
GPI	Wu_paired_n	18	18	DONE
GPI	Wu_paired_positive_fraction	0.6666666666666666	0.6666666666666666	DONE
GPI	Pal_top	Malignant_epithelial	Malignant_epithelial	DONE
GPI	Pal_bootstrap_top_frequency	0.989	0.989	DONE
GPI	Pal_runner	Perivascular	Perivascular	DONE
GPI	Pal_paired_n	15	15	DONE
GPI	Pal_paired_positive_fraction	0.7333333333333333	0.7333333333333333	DONE
GPI	two_source_stable_rule	True	True	DONE
ASNS	Wu_top	Malignant_epithelial	Malignant_epithelial	DONE
ASNS	Wu_bootstrap_top_frequency	0.972	0.972	DONE
ASNS	Wu_runner	Plasma_cells	Plasma_cells	DONE
ASNS	Wu_paired_n	11	11	DONE
ASNS	Wu_paired_positive_fraction	0.7272727272727273	0.7272727272727273	DONE
ASNS	Pal_top	Malignant_epithelial	Malignant_epithelial	DONE
ASNS	Pal_bootstrap_top_frequency	0.926	0.926	DONE
ASNS	Pal_runner	Perivascular	Perivascular	DONE
ASNS	Pal_paired_n	15	15	DONE
ASNS	Pal_paired_positive_fraction	0.8	0.8	DONE
ASNS	two_source_stable_rule	True	True	DONE
NNMT	Wu_top	Fibroblasts	Fibroblasts	DONE
NNMT	Wu_bootstrap_top_frequency	1.0	1.0	DONE
NNMT	Wu_runner	Endothelial	Endothelial	DONE
NNMT	Wu_paired_n	21	21	DONE
NNMT	Wu_paired_positive_fraction	0.9047619047619048	0.9047619047619048	DONE
NNMT	Pal_top	Fibroblasts	Fibroblasts	DONE
NNMT	Pal_bootstrap_top_frequency	1.0	1.0	DONE
NNMT	Pal_runner	Perivascular	Perivascular	DONE
NNMT	Pal_paired_n	15	15	DONE
NNMT	Pal_paired_positive_fraction	1.0	1.0	DONE
NNMT	two_source_stable_rule	True	True	DONE
PNP	Wu_top	Endothelial	Endothelial	DONE
PNP	Wu_bootstrap_top_frequency	1.0	1.0	DONE
PNP	Wu_runner	Myeloid	Myeloid	DONE
PNP	Wu_paired_n	24	24	DONE
PNP	Wu_paired_positive_fraction	0.9583333333333334	0.9583333333333334	DONE
PNP	Pal_top	Endothelial	Endothelial	DONE
PNP	Pal_bootstrap_top_frequency	1.0	1.0	DONE
PNP	Pal_runner	Myeloid	Myeloid	DONE
PNP	Pal_paired_n	23	23	DONE
PNP	Pal_paired_positive_fraction	0.9130434782608696	0.9130434782608696	DONE
PNP	two_source_stable_rule	True	True	DONE
PMM2	Wu_top	Malignant_epithelial	Malignant_epithelial	DONE
PMM2	Wu_bootstrap_top_frequency	0.998	0.998	DONE
PMM2	Wu_runner	Nonmalignant_epithelial	Nonmalignant_epithelial	DONE
PMM2	Wu_paired_n	8	8	DONE
PMM2	Wu_paired_positive_fraction	0.875	0.875	DONE
PMM2	Pal_top	Malignant_epithelial	Malignant_epithelial	DONE
PMM2	Pal_bootstrap_top_frequency	0.72	0.72	DONE
