gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background
ALDH3A1	UniProtKB:P30838	False	True	0.0498159499989554	0.8052068269627489	0.8789662309593366	11	NOT_SUPPORTED_THIS_TEST
ALDH3A2	UniProtKB:P51648	True	False	-0.2944254921933554	0.175684154282539	0.2794761790117282	11	NOT_SUPPORTED_THIS_TEST
ALDH3B1	UniProtKB:P43353	False	True	0.1058965923156111	0.2918564194425754	0.4201557179223653	11	NOT_SUPPORTED_THIS_TEST
ALDH4A1	UniProtKB:P30038	False	True	-0.3406104152791746	0.0785951087680427	0.1756109461535955	11	NOT_SUPPORTED_THIS_TEST
ALDH5A1	UniProtKB:P51649	False	True	-0.2144863821513437	0.0245255018207681	0.0907020713888754	11	NOMINAL_EXPLORATORY
ALDH6A1	UniProtKB:Q02252	False	True	-0.58538804286505	0.0121671003317872	0.0702742022750811	11	NOMINAL_EXPLORATORY
ALDH7A1	UniProtKB:P49419	False	True	0.1200584052886228	0.4462020408904653	0.5630019868882636	11	NOT_SUPPORTED_THIS_TEST
ALDH8A1	UniProtKB:Q9H2A2	False	True	-0.2056326243115409	0.0007357372217085	0.0548657216119157	11	NOMINAL_EXPLORATORY
ALDH9A1	UniProtKB:P49189	True	False	-0.0218730597937726	0.8799653917769635	0.9056310490371248	11	NOT_SUPPORTED_THIS_TEST
ALKBH1	UniProtKB:Q13686	False	True	-0.0854814968024682	0.4212837218631823	0.5474849290253968	11	NOT_SUPPORTED_THIS_TEST
ALKBH2	UniProtKB:Q6NS38	False	True	-0.1681023806892918	0.0177524522548239	0.078480498656429	11	NOMINAL_EXPLORATORY
ALKBH3	UniProtKB:Q96Q83	False	True	-0.1735324105396998	0.0057622743744937	0.0584311321184284	11	NOMINAL_EXPLORATORY
ALKBH4	UniProtKB:Q9NXW9	False	True	-0.3344436848072583	0.006408421825022	0.0584311321184284	11	NOMINAL_EXPLORATORY
ALKBH5	UniProtKB:Q6P6C2	False	True	-0.0058987795417635	0.9496313852368335	0.9699806292061944	11	NOT_SUPPORTED_THIS_TEST
ALKBH7	UniProtKB:Q9BT30	False	True	-0.3727402352180856	0.0044902100171336	0.0584311321184284	11	NOMINAL_EXPLORATORY
ALKBH8	UniProtKB:Q96BT7	False	True	0.3079952166770427	0.0235118959377906	0.088478976818528	11	NOMINAL_EXPLORATORY
ANTKMT	UniProtKB:Q9BQD7	False	True	-0.5014324019563537	0.0010433937449426	0.0548657216119157	11	NOMINAL_EXPLORATORY
AOC1	UniProtKB:P19801	True	False	0.3632767205440437	0.0419181360611833	0.1232592810370511	11	NOMINAL_EXPLORATORY
AQP1	UniProtKB:P29972	False	True	-0.7380956206939738	0.0487104698254425	0.1393119437007656	11	NOMINAL_EXPLORATORY
AQP10	UniProtKB:Q96PS8	True	False	-0.1896684315593882	0.2238854042412205	0.3315055512272763	11	NOT_SUPPORTED_THIS_TEST
AQP11	UniProtKB:Q8NBQ7	True	False	-0.1525422388777517	0.1259977486085355	0.2288341463699138	11	NOT_SUPPORTED_THIS_TEST
AQP2	UniProtKB:P41181	False	True	-0.2979666793881947	0.0557805086861602	0.1468890455310611	11	NOT_SUPPORTED_THIS_TEST
AQP3	UniProtKB:Q92482	True	False	-0.1978269982576773	0.6064690129758231	0.6778183086200377	11	NOT_SUPPORTED_THIS_TEST
AQP7	UniProtKB:O14520	True	False	-0.2753840794656174	0.1175935826383304	0.2217222512341039	11	NOT_SUPPORTED_THIS_TEST
AQP7B	UniProtKB:A0A075B734	False	True	NA	NA	NA	0	NOT_EVALUABLE
AQP9	UniProtKB:O43315	True	False	-0.0020288936496473	0.9957820387304002	0.9957820387304002	11	NOT_SUPPORTED_THIS_TEST
ARG1	UniProtKB:P05089	True	False	-0.0756222041332972	0.3241351007745137	0.4271461691976659	11	NOT_SUPPORTED_THIS_TEST
ARG2	UniProtKB:P78540	True	False	-0.1904848466047181	0.1126497235134107	0.2173787633422847	11	NOT_SUPPORTED_THIS_TEST
AS3MT	UniProtKB:Q9HBK9	False	True	-0.75605159517336	0.0326022824305951	0.1107105641920391	11	NOMINAL_EXPLORATORY
