cohort	gene	matrix_label	method
GSE263733	METTL18	METTL18	EXACT_CANONICAL
GSE263733	METTL21A	METTL21A	EXACT_CANONICAL
GSE263733	METTL21C	METTL21C	EXACT_CANONICAL
GSE263733	METTL22	METTL22	EXACT_CANONICAL
GSE263733	METTL23	METTL23	EXACT_CANONICAL
GSE263733	METTL2A	METTL2A	EXACT_CANONICAL
GSE263733	METTL2B	METTL2B	EXACT_CANONICAL
GSE263733	METTL3	METTL3	EXACT_CANONICAL
GSE263733	METTL4	METTL4	EXACT_CANONICAL
GSE263733	METTL5	METTL5	EXACT_CANONICAL
GSE263733	METTL6	METTL6	EXACT_CANONICAL
GSE263733	METTL8	METTL8	EXACT_CANONICAL
GSE263733	METTL9	METTL9	EXACT_CANONICAL
GSE263733	MGLL	MGLL	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	MOGAT1	MOGAT1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	MOGAT2	MOGAT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	MOGAT3	MOGAT3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	MPC1	MPC1	EXACT_CANONICAL
GSE263733	MPC1L	NA	MISSING_OR_AMBIGUOUS
GSE263733	MPC2	MPC2	EXACT_CANONICAL
GSE263733	MPST	MPST	EXACT_CANONICAL
GSE263733	MRM1	MRM1	EXACT_CANONICAL
GSE263733	MRM2	FTSJ2	UNIQUE_REVIEWED_ALIAS
GSE263733	MRM3	RNMTL1	UNIQUE_REVIEWED_ALIAS
GSE263733	MTO1	MTO1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	MTRR	MTRR	EXACT_CANONICAL
GSE263733	NAAA	NAAA	EXACT_CANONICAL
GSE263733	NDUFAF7	NDUFAF7	EXACT_CANONICAL
GSE263733	NIT1	NIT1	EXACT_CANONICAL
GSE263733	NIT2	NIT2	EXACT_CANONICAL
GSE263733	NNMT	NNMT	EXACT_CANONICAL
GSE263733	NOP2	NOP2	EXACT_CANONICAL
GSE263733	NPL	NPL	EXACT_CANONICAL
GSE263733	NSD1	NSD1	EXACT_CANONICAL
GSE263733	NSD2	WHSC1	UNIQUE_REVIEWED_ALIAS
GSE263733	NSD3	WHSC1L1	UNIQUE_REVIEWED_ALIAS
GSE263733	NSUN2	NSUN2	EXACT_CANONICAL
GSE263733	NSUN3	NSUN3	EXACT_CANONICAL
GSE263733	NSUN4	NSUN4	EXACT_CANONICAL
GSE263733	NSUN5	NSUN5	EXACT_CANONICAL
GSE263733	NSUN6	NSUN6	EXACT_CANONICAL
GSE263733	NT5C	NT5C	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	NT5C1A	NT5C1A	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	NT5C2	NT5C2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	NT5E	NT5E	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	NT5M	NT5M	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	NTMT1	NTMT1	EXACT_CANONICAL
GSE263733	NTMT2	METTL11B	UNIQUE_REVIEWED_ALIAS
GSE263733	OAT	OAT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ODC1	ODC1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	OGDH	OGDH	EXACT_CANONICAL
GSE263733	OGDHL	OGDHL	EXACT_CANONICAL
GSE263733	OGFOD1	OGFOD1	EXACT_CANONICAL
GSE263733	OLAH	OLAH	EXACT_CANONICAL
GSE263733	OTC	OTC	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	P3H1	P3H1	EXACT_CANONICAL
GSE263733	P3H2	P3H2	EXACT_CANONICAL
GSE263733	P3H3	P3H3	EXACT_CANONICAL
GSE263733	P4HA1	P4HA1	EXACT_CANONICAL
GSE263733	P4HA2	P4HA2	EXACT_CANONICAL
GSE263733	P4HA3	P4HA3	EXACT_CANONICAL
GSE263733	P4HTM	P4HTM	EXACT_CANONICAL
GSE263733	PAOX	PAOX	EXACT_CANONICAL
GSE263733	PC	PC	EXACT_CANONICAL
GSE263733	PCIF1	PCIF1	EXACT_CANONICAL
GSE263733	PCMT1	PCMT1	EXACT_CANONICAL
GSE263733	PDHA1	PDHA1	EXACT_CANONICAL
GSE263733	PDHA2	PDHA2	EXACT_CANONICAL
GSE263733	PDHB	PDHB	EXACT_CANONICAL
GSE263733	PEMT	PEMT	EXACT_CANONICAL
GSE263733	PEPD	PEPD	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PGP	PGP	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PHF2	PHF2	EXACT_CANONICAL
GSE263733	PHF8	PHF8	EXACT_CANONICAL
GSE263733	PHGDH	PHGDH	EXACT_CANONICAL
GSE263733	PHYH	PHYH	EXACT_CANONICAL
GSE263733	PIPOX	PIPOX	EXACT_CANONICAL
GSE263733	PKLR	PKLR	EXACT_CANONICAL
GSE263733	PKM	PKM	EXACT_CANONICAL
GSE263733	PLA2G15	PLA2G15	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLA2G4A	PLA2G4A	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLA2G4B	PLA2G4B	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLA2G4C	PLA2G4C	REUSED_IDENTICAL_DONOR_SUMMARIES
