cohort	gene	celltype	mean_expression	detection_fraction	donor_count	detected_donor_count	status	bootstrap_first_frequency
GSE263733	ACOT7	Myeloid	2.053389141374436	0.07671458345619084	20	20	EVALUABLE	0.0
GSE263733	ACOT7	T/NK	2.584639678452768	0.054735498906648784	20	20	EVALUABLE	0.114
GSE263733	ACOT8	Acinar	1.8453995626374775	0.09187664123816822	4	4	EVALUABLE	0.0
GSE263733	ACOT8	B/Plasma	2.1820910420905197	0.07927935478768715	17	16	EVALUABLE	0.0
GSE263733	ACOT8	Endothelial	2.435009716362565	0.14544264841233315	4	4	EVALUABLE	0.0
GSE263733	ACOT8	Epithelial/Ductal	2.910813805686283	0.39048526541043826	18	18	EVALUABLE	0.891
GSE263733	ACOT8	Fibroblast/CAF	2.7908212004989243	0.24342886478597714	11	11	EVALUABLE	0.109
GSE263733	ACOT8	Myeloid	2.574634514534882	0.1437814568529372	20	20	EVALUABLE	0.0
GSE263733	ACOT8	T/NK	2.651731080733513	0.06957897424296182	20	20	EVALUABLE	0.0
GSE263733	ACOT9	Acinar	1.6901178407612423	0.06927001232063543	4	4	EVALUABLE	0.0
GSE263733	ACOT9	B/Plasma	2.724638265931774	0.12133778421003279	17	17	EVALUABLE	0.0
GSE263733	ACOT9	Endothelial	3.326448717068556	0.27719274907961344	4	4	EVALUABLE	0.019
GSE263733	ACOT9	Epithelial/Ductal	3.1624708155370147	0.4475237370715658	18	18	EVALUABLE	0.0
GSE263733	ACOT9	Fibroblast/CAF	3.4559282155025626	0.3817530180041464	11	11	EVALUABLE	0.0
GSE263733	ACOT9	Myeloid	3.9129010954038286	0.4077886191206341	20	20	EVALUABLE	0.981
GSE263733	ACOT9	T/NK	2.906277428314851	0.08552118387933123	20	20	EVALUABLE	0.0
GSE263733	ACSL3	Acinar	1.7135887665681666	0.10506986591731	4	3	EVALUABLE	0.0
GSE263733	ACSL3	B/Plasma	2.789002603087803	0.13777320349798614	17	17	EVALUABLE	0.0
