cohort	gene	top_celltype	second_celltype	mean_expression	detection_fraction	donor_count	bootstrap_top_frequency	bootstrap_valid_draws	eligible_categories	seed
GSE263733	CRYM	Epithelial/Ductal	Myeloid	1.3242520762595016	0.10586635519112718	18	0.996	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CSAD	Fibroblast/CAF	Endothelial	3.3292849021263904	0.37590913284812155	11	0.665	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CSKMT	T/NK	Endothelial	2.8955329298037786	0.08196854227016195	20	0.642	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CTH	Acinar	Epithelial/Ductal	1.5605230635548497	0.09318855589514798	4	0.604	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CYP2E1	Acinar	Epithelial/Ductal	1.7052250914377405	0.09141091743914677	4	0.992	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CYP4A11	Epithelial/Ductal	NOT_EVALUABLE	0.09177453137179145	0.0035375902714955337	18	1.0	1000	Epithelial/Ductal	1027977293
GSE263733	CYP4B1	Epithelial/Ductal	T/NK	0.9274041132992991	0.04207781964952976	18	1.0	1000	Epithelial/Ductal;T/NK	1027977293
GSE263733	CYP4F11	Epithelial/Ductal	Fibroblast/CAF	1.7979979942202613	0.16622293331762672	18	1.0	1000	Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CYP4V2	Endothelial	Epithelial/Ductal	2.73200413340881	0.17359053823439174	4	0.776	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CYP4Z1	Epithelial/Ductal	NOT_EVALUABLE	0.07766368099432433	0.0033277571792674054	18	1.0	1000	Epithelial/Ductal	1027977293
GSE263733	D2HGDH	Epithelial/Ductal	Fibroblast/CAF	2.8423648922887144	0.37140136874010377	18	0.694	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DAGLA	Myeloid	Epithelial/Ductal	1.2592445686719393	0.04495112813061105	20	0.787	1000	Acinar;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DAGLB	Endothelial	Epithelial/Ductal	2.3641570824159484	0.13421345298358642	4	0.49	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DAO	Myeloid	NOT_EVALUABLE	0.10054897104038138	0.0017099141413073498	20	1.0	1000	Myeloid	1027977293
GSE263733	DCK	T/NK	B/Plasma	3.934958953823729	0.24354568430523021	20	0.885	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DCPH1	Myeloid	T/NK	3.1081700730618538	0.2270328668614244	20	0.949	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DCTD	Fibroblast/CAF	Epithelial/Ductal	3.8684537849964555	0.4935290216979124	11	0.986	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DCTPP1	Epithelial/Ductal	Endothelial	4.036402488890039	0.6106761508340611	18	0.872	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DDHD2	T/NK	Fibroblast/CAF	2.8521683578691666	0.08743610154094086	20	0.911	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DDO	Myeloid	Endothelial	1.14921441312032	0.0335508630397266	20	0.83	1000	Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DGAT1	Epithelial/Ductal	Endothelial	3.940815473940145	0.6208049224245955	18	0.58	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DGAT2	Myeloid	Epithelial/Ductal	1.8824010545629672	0.07347277559538884	20	0.642	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DGAT2L6	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	NA	0		1027977293
GSE263733	DGKA	T/NK	Epithelial/Ductal	3.661420841091985	0.1764094335866941	20	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DGKB	Epithelial/Ductal	Fibroblast/CAF	0.14369201430638945	0.006767763432380017	18	0.725	1000	Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DGUOK	Epithelial/Ductal	T/NK	4.499353244542415	0.7565459201662857	18	0.964	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DIMT1	T/NK	Fibroblast/CAF	3.247511562989377	0.12384752738767943	20	0.581	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	DNMT1	T/NK	Myeloid	4.511306470308733	0.3199165874747994	20	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
