pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
ABC transporters	up	0.7121820978	0.9777120583	2	ABCA3;ABCD3	0.4202062508	0.7858402613	3	ABCA2;ABCA3;ABCC5
AGE-RAGE signaling pathway in diabetic complications	up	0.8486880692	1	6	AGTR1;BCL2;CDKN1B;EGR1;PRKCD;THBD	0.3194608433	0.7273100622	9	AGTR1;CDC42;COL1A1;COL3A1;HRAS;JUN;MAPK3;PLCB1;TGFB1
AMPK signaling pathway	up	0.6078004463	0.9498753766	9	CREB3L4;FBP1;G6PC3;IGF1R;INSR;IRS1;PPP2CA;RPS6KB1;SREBF1	0.3529254712	0.7446339612	10	CREB3L1;CREB3L4;EIF4EBP1;FASN;FBP1;G6PC3;IRS1;PPP2R2C;SREBF1;TSC2
Acute myeloid leukemia	up	0.6242819992	0.9532298678	5	BRAF;GRB2;IKBKB;RARA;RPS6KB1	0.3766830882	0.7612963467	6	EIF4EBP1;HRAS;IKBKB;MAPK3;PIM2;RARA
Adherens junction	up	0.3134987682	0.7316759429	8	AFDN;CTNNA1;CTNNB1;IGF1R;INSR;RAC3;RHOA;WASL	0.5391218551	0.8303053169	6	CDC42;FGFR1;MAPK3;NECTIN2;PTPN1;RAC2
Adipocytokine signaling pathway	up	0.7544116127	0.9971376994	4	G6PC3;IKBKB;IRS1;SOCS3	0.6397985517	0.9054642893	4	G6PC3;IKBKB;IRS1;RXRA
Adrenergic signaling in cardiomyocytes	up	0.705181989	0.9777120583	8	ADCY1;AGTR1;ATP1A4;ATP2A3;BCL2;CACNG4;CREB3L4;PPP2CA	0.06423321355	0.3448731246	13	ADCY1;ADCY9;AGTR1;ATP2A3;CACNA1D;CACNG4;CAMK2B;CREB3L1;CREB3L4;GNAI1;MAPK3;PLCB1;PPP2R2C
African trypanosomiasis	up	1	1	0	NA	0.4922150746	0.8270326387	2	APOA1;PLCB1
Alanine, aspartate and glutamate metabolism	up	0.539706221	0.9181432061	3	ABAT;GLUD1;GLUL	0.4202062508	0.7858402613	3	ABAT;ASL;GLUL
Alcoholism	up	0.1025791205	0.447977073	16	BRAF;CREB3L4;GRB2;H2AC15;H2AC20;H2AC6;H2AJ;H2BC18;H2BC21;H2BC5;H3-3B;H3-5;MAOB;PPP1R1B;SHC2;SLC29A1	0.01253938746	0.1578569347	17	CREB3L1;CREB3L4;FOSB;GNAI1;H2AC19;H2AJ;H2BC12;H2BC18;H2BC5;H3C10;H4C11;HDAC11;HRAS;MAOB;MAPK3;PKIA;TH
Aldosterone synthesis and secretion	up	0.8676268928	1	4	ADCY1;AGTR1;ATP1A4;CREB3L4	0.1929310371	0.5835887511	8	ADCY1;ADCY9;AGTR1;CACNA1D;CAMK2B;CREB3L1;CREB3L4;PLCB1
Aldosterone-regulated sodium reabsorption	up	0.3644119864	0.760059286	3	ATP1A4;INSR;IRS1	0.1309809072	0.4805414174	4	IRS1;MAPK3;SCNN1A;SCNN1B
Allograft rejection	up	1	1	0	NA	1	1	0	NA
Alzheimer disease	up	0.3135383173	0.7316759429	31	ATF6;ATP2A3;ATP5MC2;BECN1;BRAF;COX6A1;COX6C;COX7C;CSNK1A1;CTNNB1;IKBKB;INSR;IRS1;MAPT;NCSTN;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;PIK3R4;PSENEN;PSMA1;PSMC5;TUBA3D;TUBA3E;UQCR11;UQCRQ;VDAC1;WIPI1;XBP1	0.8186318616	0.9844090862	22	ADRM1;ATP2A3;ATP5F1E;CACNA1D;COX6A1;COX6C;COX7A1;HRAS;IKBKB;IRS1;MAPK3;MAPT;NDUFA13;NDUFA2;NDUFB10;PLCB1;PSEN2;RB1CC1;UQCR11;UQCRQ;WNT7B;XBP1
Amino sugar and nucleotide sugar metabolism	up	0.7781679441	1	3	AMDHD2;CYB5R1;UGDH	0.7433356447	0.9621602952	3	AMDHD2;CYB5R1;UGDH
Aminoacyl-tRNA biosynthesis	up	1	1	0	NA	0.9844929085	1	1	CARS1
Amoebiasis	up	0.7938913751	1	5	ADCY1;HSPB1;LAMB2;PTK2;RAB5C	0.09522277053	0.4083031235	9	ADCY1;COL1A1;COL3A1;HSPB1;LAMA5;PLCB1;RAB5C;SERPINB6;TGFB1
Amphetamine addiction	up	0.6154110955	0.9507938619	4	ARC;CREB3L4;MAOB;PPP1R1B	0.001448208224	0.04634266316	11	ARC;CACNA1D;CAMK2B;CREB3L1;CREB3L4;FOS;FOSB;GRIA2;JUN;MAOB;TH
Amyotrophic lateral sclerosis	up	0.1017126084	0.447977073	35	ATF6;ATP5MC2;BCL2;BECN1;COX6A1;COX6C;COX7C;DCTN6;DNAL1;DNALI1;ERBB4;FIG4;GABARAP;GPX1;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;NUP58;NUP85;NXT2;PIK3R4;PSMA1;PSMC5;SLC1A2;TBK1;TUBA3D;TUBA3E;UBQLN2;UQCR11;UQCRQ;VDAC1;WIPI1;XBP1	0.8784761975	0.9948362619	21	ADRM1;ATP5F1E;BCL2L1;CCS;COX6A1;COX6C;COX7A1;DCTN1;DNALI1;ERBB4;FIG4;GRIA2;NDUFA13;NDUFA2;NDUFB10;PINK1;RB1CC1;SLC1A2;UQCR11;UQCRQ;XBP1
Antigen processing and presentation	up	0.6083106007	0.9498753766	5	HSPA1A;HSPA1B;HSPA2;HSPA4;HSPA6	0.6718841006	0.9186845555	4	HSPA1A;HSPA1B;HSPA2;HSPA6
Apelin signaling pathway	up	0.2620102202	0.687588575	12	ADCY1;AGTR1;BECN1;EGR1;GABARAP;GNA13;KLF2;MEF2D;PIK3R4;PLAT;RPS6KB1;UCP1	0.4772681834	0.8210472376	9	ADCY1;ADCY9;AGTR1;GNAI1;HRAS;KLF2;MAPK3;PLAT;PLCB1
Apoptosis	up	0.8355370345	1	9	BCL2;BECN1;CTSO;GADD45B;GADD45G;IKBKB;PTPN13;TUBA3D;TUBA3E	0.6507350438	0.9103757006	10	BCL2L1;BOK;CTSD;FOS;GADD45B;GADD45G;HRAS;IKBKB;JUN;MAPK3
Arachidonic acid metabolism	up	0.01593610621	0.1507309706	8	ALOX15B;CYP4F8;EPHX2;GPX1;PLA2G10;PLA2G12A;PLA2G4C;PTGES	0.2426557138	0.673606712	4	LTC4S;PLA2G10;PLAAT3;PRXL2B
Arginine and proline metabolism	up	0.478814264	0.8544508821	4	ALDH3A2;GAMT;MAOB;PYCR3	0.3894531563	0.7660394114	4	ALDH2;GAMT;MAOB;PYCR3
Arginine biosynthesis	up	0.05526930748	0.3362216205	4	ACY1;GLUD1;GLUL;NAGS	NA	NA	NA	NA
Arrhythmogenic right ventricular cardiomyopathy	up	0.392425669	0.7822281322	5	ATP2A3;CACNG4;CTNNA1;CTNNB1;GJA1	0.4927471301	0.8270326387	4	ATP2A3;CACNA1D;CACNG4;ITGA3
Asthma	up	0.769982561	1	1	FCER1G	NA	NA	NA	NA
Autoimmune thyroid disease	up	0.8842078646	1	1	CGA	0.8178085791	0.9844090862	1	CGA
Autophagy	up	0.3162521873	0.7316759429	14	BCL2;BECN1;GABARAP;IGF1R;IRS1;MTMR14;MTMR4;PIK3R4;PPP2CA;PRKCD;RPS6KB1;TBK1;VMP1;WIPI1	0.7195305251	0.9440764976	10	ATG16L2;BCL2L1;CTSD;HRAS;IRS1;MAPK3;RB1CC1;TSC2;VAMP8;VMP1
Axon guidance	up	0.530003031	0.915744882	14	BMPR1B;EFNA1;NFATC4;NTN4;PARD6B;PLXNB1;PTK2;RAC3;RHOA;SEMA3B;SEMA3C;SEMA3F;SEMA4A;SSH3	0.03179912893	0.258525293	19	BMP7;BMPR1B;CAMK2B;CDC42;GNAI1;HRAS;MAPK3;NFATC3;NFATC4;NTN4;PARD6B;RAC2;RHOD;RND1;SEMA3B;SEMA3C;SEMA3F;SEMA5A;SSH3
B cell receptor signaling pathway	up	0.4760537012	0.8544508821	6	BCL10;GRB2;IFITM1;IKBKB;RAC3;VAV3	0.1188016628	0.4592601193	8	FOS;HRAS;IFITM1;IKBKB;JUN;MAPK3;NFATC3;RAC2
Bacterial invasion of epithelial cells	up	0.3567198967	0.7520737173	8	ARPC4;CLTC;CTNNA1;CTNNB1;PTK2;RHOA;SHC2;WASL	0.7685673083	0.9746078538	5	ARPC1B;CDC42;CLTCL1;CTTN;SEPTIN1
Basal cell carcinoma	up	0.4494475546	0.835915197	5	CTNNB1;GADD45B;GADD45G;GLI3;POLK	0.7124625652	0.9409426699	3	GADD45B;GADD45G;WNT7B
Basal transcription factors	up	0.315950333	0.7316759429	5	CCNH;CDK7;GTF2H5;TAF7;TAF9B	0.8784410378	0.9948362619	2	GTF2I;TAF4
Base excision repair	up	0.9606486063	1	1	POLD4	0.7977413779	0.9804422687	2	NTHL1;POLD4
Bile secretion	up	0.5845688229	0.9281239336	3	ADCY1;ATP1A4;CA2	0.3470697931	0.7431680328	4	ADCY1;ADCY9;CA2;RXRA
Biosynthesis of unsaturated fatty acids	up	0.006465364484	0.08780867114	7	ACOT4;ACOX1;ACOX3;ELOVL2;ELOVL5;HACD3;HSD17B4	0.05939374617	0.3408041354	5	ACOT2;ACOT4;ELOVL2;ELOVL5;HACD3
Bladder cancer	up	0.3349797648	0.7345182348	5	BRAF;EGF;FGFR3;MDM2;THBS1	0.2731767552	0.7056045336	5	FGFR3;HRAS;MAPK3;RB1;THBS1
Breast cancer	up	0.1089880907	0.4645915691	15	BRAF;CSNK1A1;CTNNB1;EGF;ESR1;FGF10;FGF2;GADD45B;GADD45G;GRB2;IGF1R;PGR;POLK;RPS6KB1;SHC2	0.3128112874	0.7207172061	11	ESR1;FGFR1;FOS;GADD45B;GADD45G;HRAS;JUN;MAPK3;PGR;RB1;WNT7B
Butanoate metabolism	up	0.5404297393	0.9181432061	2	ABAT;ACADS	0.5498183394	0.8334088513	2	ABAT;ACADS
C-type lectin receptor signaling pathway	up	0.4379759389	0.8250901558	9	BCL10;EGR3;FCER1G;IKBKB;MDM2;NFATC4;PRKCD;PYCARD;RHOA	0.4630050148	0.820825065	8	HRAS;IKBKB;IRF1;JUN;MAPK3;NFATC3;NFATC4;PYCARD
Calcium signaling pathway	up	0.6341941583	0.9545602795	12	ADCY1;AGTR1;ATP2A3;CYSLTR1;EGF;ERBB3;ERBB4;FGF10;FGF2;FGFR3;PTGER3;VDAC1	0.04982662575	0.3067401843	16	ADCY1;ADCY9;AGTR1;ASPH;ATP2A3;CACNA1D;CAMK2B;ERBB4;FGFR1;FGFR3;P2RX4;PHKG1;PHKG2;PLCB1;PTGER3;RET
Carbohydrate digestion and absorption	up	0.6694478095	0.9640846464	2	ATP1A4;G6PC3	0.3186681789	0.7273100622	3	CACNA1D;G6PC3;PLCB1
Cardiac muscle contraction	up	0.07434251301	0.3911353838	8	ATP1A4;ATP2A3;CACNG4;COX6A1;COX6C;COX7C;UQCR11;UQCRQ	0.01118338522	0.1578569347	9	ASPH;ATP2A3;CACNA1D;CACNG4;COX6A1;COX6C;COX7A1;UQCR11;UQCRQ
Cell adhesion molecules	up	0.9311527982	1	5	CLDN15;NRCAM;OCLN;SDC4;VTCN1	0.3087089506	0.7207172061	8	CD2;CLDN3;CLDN7;CLDN9;NECTIN2;PTPRC;SDC1;SDC4
Cell cycle	up	0.327668858	0.7331747627	13	ANAPC11;ANAPC13;BUB3;CCNH;CDC14A;CDC23;CDK7;CDKN1B;GADD45B;GADD45G;MDM2;RBL2;SKP1	0.9653450781	1	6	GADD45B;GADD45G;RB1;SKP1;TGFB1;YWHAZ
Cellular senescence	up	0.9843432802	1	7	GADD45B;GADD45G;HIPK3;MDM2;NFATC4;RBL2;VDAC1	0.7279306559	0.9486155154	11	CACNA1D;EIF4EBP1;GADD45B;GADD45G;HRAS;MAPK3;NFATC3;NFATC4;RB1;TGFB1;TSC2
Central carbon metabolism in cancer	up	0.967101169	1	2	FGFR3;SIRT3	0.2109474659	0.601513566	7	FGFR1;FGFR3;HRAS;MAPK3;RET;SIRT3;SLC16A3
Chagas disease	up	0.8074354863	1	6	ADCY1;C1QA;C1QB;C1QC;IKBKB;PPP2CA	0.07808520428	0.3748089805	11	ADCY1;CCL3;CD3D;FOS;GNAI1;IKBKB;JUN;MAPK3;PLCB1;PPP2R2C;TGFB1
Chemical carcinogenesis	up	0.2676250707	0.687588575	16	ADCY1;ARNT;BCL2;CREB3L4;EGF;EPHX2;ESR1;FGF10;FGF2;GRB2;GSTM2;GSTM3;GSTT2B;NAT1;PGR;RPS6KB1	0.02280608962	0.2158826678	20	ADCY1;ADCY9;ARRB1;CACNA1D;CREB3L1;CREB3L4;EIF4EBP1;ESR1;FOS;GNAI1;GSTM3;HRAS;JUN;MAPK3;NAT1;PAQR7;PGR;RB1;RXRA;SULT1A1
Chemokine signaling pathway	up	0.6676603625	0.9640846464	11	ADCY1;BRAF;GRB2;IKBKB;PREX1;PRKCD;PTK2;RAC3;RHOA;SHC2;VAV3	0.1158109937	0.4562956651	15	ADCY1;ADCY9;ARRB1;CCL3;CCL4;CCL4L2;CDC42;GNAI1;GRK2;HRAS;IKBKB;MAPK3;PLCB1;PREX1;RAC2
Cholesterol metabolism	up	0.799045631	1	2	LRP2;VDAC1	0.3047637251	0.7207172061	4	APOA1;LRP2;LRPAP1;MYLIP
Choline metabolism in cancer	up	0.3423113282	0.7345182348	9	CHPT1;DGKE;EGF;GRB2;PLA2G4C;RAC3;RPS6KB1;SLC22A5;SLC44A1	0.1272880204	0.4738969073	10	DGKQ;EIF4EBP1;FOS;HRAS;JUN;MAPK3;RAC2;SLC44A1;SLC44A4;TSC2
Cholinergic synapse	up	0.9187334434	1	4	ADCY1;BCL2;CREB3L4;KCNJ3	0.0124561352	0.1578569347	12	ADCY1;ADCY9;CACNA1D;CAMK2B;CREB3L1;CREB3L4;FOS;GNAI1;HRAS;KCNJ3;MAPK3;PLCB1
Chronic myeloid leukemia	up	0.2633575329	0.687588575	9	BRAF;CDKN1B;GADD45B;GADD45G;GRB2;IKBKB;MDM2;POLK;SHC2	0.3363611527	0.7299643635	8	BCL2L1;GADD45B;GADD45G;HRAS;IKBKB;MAPK3;RB1;TGFB1
Circadian entrainment	up	0.8511560225	1	4	ADCY1;GUCY1A2;KCNJ3;RASD1	0.02982222127	0.258525293	10	ADCY1;ADCY9;CACNA1D;CAMK2B;FOS;GNAI1;GRIA2;KCNJ3;MAPK3;PLCB1
Circadian rhythm	up	0.4675204436	0.8505667883	3	BHLHE40;CLOCK;SKP1	0.9293271678	1	1	SKP1
Citrate cycle (TCA cycle)	up	0.7317550302	0.9869398097	2	ACLY;SUCLG2	1	1	0	NA
Cocaine addiction	up	0.5624876937	0.9225043149	3	CREB3L4;MAOB;PPP1R1B	0.003284537117	0.07495626726	8	CREB3L1;CREB3L4;FOSB;GNAI1;GRIA2;JUN;MAOB;TH
Collecting duct acid secretion	up	0.3114005163	0.7316759429	3	ATP6V1C1;ATP6V1G1;CA2	0.2676248167	0.7009025266	3	ATP6V1C1;CA2;TCIRG1
Colorectal cancer	up	0.1483386089	0.5517818318	11	BCL2;BRAF;CTNNB1;EGF;GADD45B;GADD45G;GRB2;POLK;RAC3;RHOA;RPS6KB1	0.2025229701	0.5982216962	10	AREG;EREG;FOS;GADD45B;GADD45G;HRAS;JUN;MAPK3;RAC2;TGFB1
Complement and coagulation cascades	up	0.00529336514	0.07662467407	10	C1QA;C1QB;C1QC;CD46;CFB;CFD;CLU;PLAT;SERPINA5;THBD	0.1283470791	0.4738969073	5	CFB;CFD;PLAT;SERPINA1;SERPINA5
Coronavirus disease	up	0.9547507718	1	11	AGTR1;C1QA;C1QB;C1QC;CFB;CFD;IKBKB;IL6ST;OAS1;RPS27L;TBK1	0.9445874589	1	10	AGTR1;CFB;CFD;FOS;IKBKB;IL6ST;JUN;MAPK3;RPL36A;RPS4Y1
Cortisol synthesis and secretion	up	0.6154110955	0.9507938619	4	ADCY1;AGTR1;CREB3L4;PBX1	0.03186683299	0.258525293	8	ADCY1;ADCY9;AGTR1;CACNA1D;CREB3L1;CREB3L4;PBX1;PLCB1
Cushing syndrome	up	0.6718877587	0.9640846464	10	ADCY1;AGTR1;ARNT;ASH2L;BRAF;CDKN1B;CREB3L4;CTNNB1;PBX1;RASD1	0.1185325784	0.4592601193	14	ADCY1;ADCY9;AGTR1;ASH2L;CACNA1D;CAMK2B;CREB3L1;CREB3L4;GNAI1;MAPK3;PBX1;PLCB1;RB1;WNT7B
Cysteine and methionine metabolism	up	0.8814827281	1	2	MAT2B;SDSL	0.9668871651	1	1	TAT
Cytokine-cytokine receptor interaction	up	0.9582303825	1	7	BMPR1B;CLCF1;CSF3R;IL20RA;IL6ST;PRLR;TNFRSF18	0.1280395287	0.4738969073	13	BMP7;BMPR1B;CCL3;CCL4;CCL4L2;CSF3R;GDF15;IL20;IL20RA;IL6ST;IL7R;TGFB1;TNFRSF18
Cytosolic DNA-sensing pathway	up	0.6330161751	0.9545602795	4	IKBKB;POLR2K;PYCARD;TBK1	0.07172639232	0.3594307001	7	CCL4;CCL4L2;IKBKB;IRF7;POLR2L;POLR3F;PYCARD
DNA replication	up	0.9676630971	1	1	POLD4	0.96359468	1	1	POLD4
Diabetic cardiomyopathy	up	0.3995032242	0.7875652923	17	AGTR1;ATP2A3;ATP5MC2;COX6A1;COX6C;COX7C;INSR;IRS1;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;PRKCD;UQCR11;UQCRQ;VDAC1	0.09708787012	0.4083031235	20	AGTR1;ATP2A3;ATP5F1E;CAMK2B;COL1A1;COL3A1;COX6A1;COX6C;COX7A1;CTSD;CYBA;IRS1;NDUFA13;NDUFA2;NDUFB10;PLCB1;RAC2;TGFB1;UQCR11;UQCRQ
Dilated cardiomyopathy	up	0.8908003211	1	3	ADCY1;ATP2A3;CACNG4	0.1268154805	0.4738969073	7	ADCY1;ADCY9;ATP2A3;CACNA1D;CACNG4;ITGA3;TGFB1
Dopaminergic synapse	up	0.8824300179	1	6	CLOCK;CREB3L4;KCNJ3;MAOB;PPP1R1B;PPP2CA	0.05975905846	0.3408041354	13	ARRB1;CACNA1D;CAMK2B;CREB3L1;CREB3L4;FOS;GNAI1;GRIA2;KCNJ3;MAOB;PLCB1;PPP2R2C;TH
Drug metabolism	up	0.08012026182	0.3999165205	9	FMO5;GSTM2;GSTM3;GSTT2B;MAOB;NAT1;NME1;NME2;RRM2B	0.5098933938	0.8270326387	5	GSTM3;MAOB;NAT1;NME3;RRM2B
ECM-receptor interaction	up	0.5407269829	0.9181432061	5	CHAD;COL9A2;LAMB2;SDC4;THBS1	0.06348449441	0.3448731246	8	CHAD;COL1A1;ITGA3;LAMA5;NPNT;SDC1;SDC4;THBS1
Endocrine and other factor-regulated calcium reabsorption	up	0.3929222989	0.7822281322	4	AP2B1;ATP1A4;CLTC;ESR1	0.06332818284	0.3448731246	6	ADCY9;AP2A1;AP2B1;CLTCL1;ESR1;PLCB1
Endocytosis	up	0.006863770743	0.08907649142	33	AP2B1;ARF3;ARFGEF1;ARPC4;CAPZA2;CHMP5;CLTC;FGFR3;HSPA1A;HSPA1B;HSPA2;HSPA6;IGF1R;MDM2;PARD6B;PDCD6IP;PSD3;RAB11FIP1;RAB11FIP4;RAB31;RAB5C;RABEP1;RHOA;SH3GLB2;SNX2;SNX4;VPS25;VPS28;VPS37A;VPS37C;WASL;WWP1;ZFYVE16	0.0008409712006	0.03459995797	35	AP2A1;AP2B1;ARFGAP1;ARFGEF1;ARPC1B;ARRB1;CDC42;CHMP2A;CHMP4B;CHMP6;CLTCL1;EPN2;EPN3;FGFR3;GRK2;HRAS;HSPA1A;HSPA1B;HSPA2;HSPA6;PARD6B;PSD3;RAB11FIP1;RAB11FIP4;RAB31;RAB5C;RABEP1;SH3GLB2;SNX5;VPS25;VPS28;VPS37C;WASHC1;WASHC5;WWP1
Endometrial cancer	up	0.1265011228	0.5025622839	8	BRAF;CTNNA1;CTNNB1;EGF;GADD45B;GADD45G;GRB2;POLK	0.7162023252	0.9418551126	4	GADD45B;GADD45G;HRAS;MAPK3
Epithelial cell signaling in Helicobacter pylori infection	up	0.7245328669	0.9840167308	5	ATP6AP1;ATP6V1C1;ATP6V1G1;ATP6V1H;IKBKB	0.3101729605	0.7207172061	7	ATP6AP1;ATP6V1C1;ATP6V1H;CDC42;IKBKB;JUN;TCIRG1
Epstein-Barr virus infection	up	0.8927918673	1	12	BCL2;CDKN1B;CIR1;GADD45B;GADD45G;IKBKB;MDM2;OAS1;POLK;PSMC5;TBK1;TRAF5	0.8971959057	1	11	ADRM1;CD3D;ENTPD8;GADD45B;GADD45G;IKBKB;IRF7;JUN;RB1;RBPJ;TRAF5
ErbB signaling pathway	up	0.2761433338	0.696642241	9	BRAF;CDKN1B;EGF;ERBB3;ERBB4;GRB2;PTK2;RPS6KB1;SHC2	0.3363611527	0.7299643635	8	AREG;CAMK2B;EIF4EBP1;ERBB4;EREG;HRAS;JUN;MAPK3
Estrogen signaling pathway	up	0.002585690439	0.0431440919	19	ADCY1;BCL2;CREB3L4;ESR1;GRB2;HSPA1A;HSPA1B;HSPA2;HSPA6;KCNJ3;KRT18;KRT19;KRT23;NCOA2;PGR;PRKCD;RARA;SHC2;TFF1	4.744330942e-05	0.003903906603	22	ADCY1;ADCY9;CREB3L1;CREB3L4;CTSD;ESR1;FOS;GNAI1;HRAS;HSPA1A;HSPA1B;HSPA2;HSPA6;JUN;KCNJ3;KRT18;KRT19;MAPK3;PGR;PLCB1;RARA;TFF1
Ether lipid metabolism	up	0.1897494376	0.605249812	5	CHPT1;GDPD3;PLA2G10;PLA2G12A;PLA2G4C	0.4691751403	0.8210472376	3	GDPD3;PLA2G10;PLAAT3
Fanconi anemia pathway	up	0.7129738458	0.9777120583	4	POLI;POLK;RAD51C;TELO2	0.9893899226	1	1	TELO2
Fat digestion and absorption	up	0.5688196614	0.9225043149	2	PLA2G10;PLA2G12A	0.08567924391	0.3896049497	4	APOA1;DGAT1;PLA2G10;SLC27A4
Fatty acid biosynthesis	up	0.769982561	1	1	HSD17B8	NA	NA	NA	NA
Fatty acid degradation	up	0.2066460534	0.6256798016	5	ACADS;ACADSB;ACOX1;ACOX3;ALDH3A2	0.3047637251	0.7207172061	4	ACADS;ACADSB;ACADVL;ALDH2
Fatty acid elongation	up	0.1999878178	0.624224009	4	ACOT4;ELOVL2;ELOVL5;HACD3	0.05939374617	0.3408041354	5	ACOT2;ACOT4;ELOVL2;ELOVL5;HACD3
Fc epsilon RI signaling pathway	up	0.5752264093	0.9254331214	5	FCER1G;GRB2;PLA2G4C;RAC3;VAV3	0.6560930695	0.9141039469	4	ALOX5AP;HRAS;MAPK3;RAC2
Fc gamma R-mediated phagocytosis	up	0.9079472818	1	5	ARPC4;PLA2G4C;PRKCD;RPS6KB1;VAV3	0.8437244939	0.9857714168	5	ARPC1B;CDC42;MAPK3;PTPRC;RAC2
Ferroptosis	up	0.970686819	1	1	SLC40A1	0.8369100016	0.9857714168	2	GPX4;SLC40A1
Fluid shear stress and atherosclerosis	up	0.08172742835	0.4021487769	16	BCL2;BMPR1B;CTNNB1;DUSP1;GSTM2;GSTM3;GSTT2B;IKBKB;KLF2;NPPC;PLAT;PTK2;RAC3;RHOA;SDC4;THBD	0.2268355114	0.6436317958	13	BMPR1B;CYBA;DUSP1;FOS;GSTM3;IKBKB;JUN;KLF2;NPPC;PLAT;RAC2;SDC1;SDC4
Focal adhesion	up	0.3934653765	0.7822281322	16	BCL2;BRAF;CHAD;COL9A2;CTNNB1;EGF;FLNB;GRB2;IGF1R;LAMB2;PTK2;RAC3;RHOA;SHC2;THBS1;VAV3	0.7763596577	0.9746078538	11	CDC42;CHAD;COL1A1;FLNB;HRAS;ITGA3;JUN;LAMA5;MAPK3;RAC2;THBS1
Folate biosynthesis	up	0.5107675372	0.8904126619	2	GPHN;MOCS2	0.08567924391	0.3896049497	4	MOCS2;SPR;TH;TPH1
FoxO signaling pathway	up	0.02392110853	0.1995703911	17	BRAF;CCNG2;CDKN1B;EGF;G6PC3;GABARAP;GADD45B;GADD45G;GRB2;IGF1R;IKBKB;INSR;IRS1;KLF2;MDM2;RBL2;SGK3	0.2668137411	0.7009025266	12	CCNG2;G6PC3;GADD45B;GADD45G;HRAS;IKBKB;IL7R;IRS1;KLF2;MAPK3;SGK3;TGFB1
Fructose and mannose metabolism	up	0.9417298	1	1	FBP1	0.7138749075	0.9409426699	2	ALDOA;FBP1
GABAergic synapse	up	0.09847177447	0.4457946999	8	ABAT;ADCY1;GABARAP;GLUL;GPHN;PLCL1;SLC38A1;SLC38A2	0.09711376375	0.4083031235	7	ABAT;ADCY1;ADCY9;CACNA1D;GLUL;GNAI1;NSF
Galactose metabolism	up	0.3379399369	0.7345182348	3	B4GALT1;G6PC3;GAA	0.2676248167	0.7009025266	3	B4GALT1;G6PC3;GALM
Gap junction	up	0.4513602519	0.8368075781	7	ADCY1;EGF;GJA1;GRB2;GUCY1A2;TUBA3D;TUBA3E	0.5235495991	0.8303053169	6	ADCY1;ADCY9;GNAI1;HRAS;MAPK3;PLCB1
Gastric acid secretion	up	0.6330161751	0.9545602795	4	ADCY1;ATP1A4;CA2;EZR	0.09711376375	0.4083031235	7	ADCY1;ADCY9;CA2;CAMK2B;EZR;GNAI1;PLCB1
Gastric cancer	up	0.09731040046	0.4439787021	15	BCL2;BRAF;CDKN1B;CSNK1A1;CTNNA1;CTNNB1;EGF;FGF10;FGF2;GADD45B;GADD45G;GRB2;POLK;RPS6KB1;SHC2	0.6905141379	0.9336529189	8	GADD45B;GADD45G;HRAS;MAPK3;RB1;RXRA;TGFB1;WNT7B
Glioma	up	0.1588357205	0.5680292627	9	BRAF;EGF;GADD45B;GADD45G;GRB2;IGF1R;MDM2;POLK;SHC2	0.5077709669	0.8270326387	6	CAMK2B;GADD45B;GADD45G;HRAS;MAPK3;RB1
Glucagon signaling pathway	up	0.9514086797	1	4	CREB3L4;FBP1;G6PC3;SIK1	0.3925783348	0.7660394114	8	CAMK2B;CREB3L1;CREB3L4;FBP1;G6PC3;PHKG1;PHKG2;PLCB1
Glutamatergic synapse	up	0.4823830937	0.8562666466	7	ADCY1;GLUL;KCNJ3;PLA2G4C;SLC1A2;SLC38A1;SLC38A2	0.01717990157	0.1955220332	11	ADCY1;ADCY9;CACNA1D;GLUL;GNAI1;GRIA2;GRK2;KCNJ3;MAPK3;PLCB1;SLC1A2
Glutathione metabolism	up	0.1216490629	0.5003031882	7	ANPEP;GGT6;GPX1;GSTM2;GSTM3;GSTT2B;RRM2B	0.5125755969	0.8270326387	4	GPX4;GSTM3;OPLAH;RRM2B
Glycerolipid metabolism	up	0.4305577604	0.8217180786	5	ALDH3A2;DGKE;GPAT4;MBOAT1;PLPP5	0.01118338522	0.1578569347	9	ALDH2;DGAT1;DGKQ;GPAT4;LPIN2;LPIN3;MGLL;PLPP5;PNPLA2
Glycerophospholipid metabolism	up	0.0274913753	0.2229855996	12	CDS1;CHPT1;DGKE;ETNK2;GPAT4;GPD1L;MBOAT1;PISD;PLA2G10;PLA2G12A;PLA2G4C;PLPP5	0.004143399015	0.07955326109	13	CDIPT;CDS1;DGKQ;ETNK2;GPAT4;GPD1L;LPIN2;LPIN3;PISD;PLA2G10;PLAAT3;PLPP5;PTDSS2
Glycine, serine and threonine metabolism	up	0.02948081965	0.2325483502	6	AMT;CHDH;GAMT;GNMT;MAOB;SDSL	0.6728939199	0.9186845555	2	GAMT;MAOB
Glycolysis / Gluconeogenesis	up	0.7781679441	1	3	ALDH3A2;FBP1;G6PC3	0.3276615489	0.7299643635	5	ALDH2;ALDOA;FBP1;G6PC3;GALM
