pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
Pathways in cancer	up	0.4063230416	0.7936209241	40	ADCY1;AGTR1;ARNT;BCL2;BRAF;CDKN1B;CSF3R;CTNNA1;CTNNB1;EGF;EGLN2;ELOC;ESR1;FGF10;FGF2;FGFR3;GADD45B;GADD45G;GLI3;GNA13;GRB2;GSTM2;GSTM3;GSTT2B;IGF1R;IKBKB;IL6ST;KITLG;LAMB2;MDM2;POLK;PTGER3;PTK2;RAC3;RARA;RHOA;RPS6KB1;SKP1;TRAF4;TRAF5	0.3060739747	0.7207172061	37	ADCY1;ADCY9;AGTR1;BCL2L1;CAMK2B;CDC42;CSF3R;ELOB;ESR1;FGFR1;FGFR3;FOS;GADD45B;GADD45G;GNAI1;GSTM3;HRAS;IKBKB;IL6ST;IL7R;ITGA3;JUN;KITLG;LAMA5;MAPK3;PIM2;PLCB1;PTGER3;RAC2;RARA;RB1;RET;RXRA;SKP1;TGFB1;TRAF5;WNT7B
Pathways of neurodegeneration	up	0.3370651219	0.7345182348	38	ATF6;ATP2A3;ATP5MC2;BCL2;BECN1;BRAF;COX6A1;COX6C;COX7C;CSNK1A1;CTNNB1;DCTN6;DNAL1;DNALI1;FIG4;GABARAP;GPX1;HIP1;MAPT;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;PIK3R4;PSMA1;PSMC5;TBK1;TUBA3D;TUBA3E;UBB;UBC;UBE2G1;UQCR11;UQCRQ;VDAC1;WIPI1;XBP1	0.7466655647	0.9635459728	29	ADRM1;ATP2A3;ATP5F1E;BCL2L1;CACNA1D;CAMK2B;CCS;COX6A1;COX6C;COX7A1;DCTN1;DNALI1;FIG4;GRIA2;HRAS;MAPK3;MAPT;NDUFA13;NDUFA2;NDUFB10;PINK1;PLCB1;PSEN2;RB1CC1;UBC;UQCR11;UQCRQ;WNT7B;XBP1
Pentose phosphate pathway	up	0.9137252733	1	1	FBP1	0.6506742649	0.9103757006	2	ALDOA;FBP1
Peroxisome	up	0.001995222135	0.03845815654	15	ABCD3;ACOX1;ACOX2;ACOX3;CRAT;CROT;EPHX2;FAR1;HSD17B4;NUDT12;PEX11B;PEX19;PEX2;SLC25A17;SLC27A2	0.08954800568	0.393737796	10	ACOX2;CRAT;FAR1;MPV17L;NUDT12;PEX11A;PEX11B;PEX11G;PEX2;PMVK
Pertussis	up	0.6980097567	0.9777120583	5	C1QA;C1QB;C1QC;PYCARD;RHOA	0.327007793	0.7299643635	6	FOS;GNAI1;IRF1;JUN;MAPK3;PYCARD
Phagosome	up	0.7827523044	1	9	ATP6AP1;ATP6V1C1;ATP6V1G1;ATP6V1H;DYNC1I2;RAB5C;THBS1;TUBA3D;TUBA3E	0.6696960229	0.9186845555	9	ATP6AP1;ATP6V1C1;ATP6V1H;CORO1A;CYBA;DYNC1I2;RAB5C;TCIRG1;THBS1
Phosphatidylinositol signaling system	up	0.5438838823	0.9181432061	8	CDS1;DGKE;INPP4B;ITPK1;MTMR14;MTMR4;PIP4K2C;SACM1L	0.6173990565	0.8905847324	7	CDIPT;CDS1;DGKQ;INPP4B;ITPK1;MTMR6;PLCB1
Phospholipase D signaling pathway	up	0.3746476398	0.773124458	12	ADCY1;AGTR1;DGKE;EGF;FCER1G;GNA13;GRB2;INSR;KITLG;PLA2G4C;RHOA;SHC2	0.6022804154	0.8782620741	9	ADCY1;ADCY9;AGTR1;DGKQ;HRAS;KITLG;MAPK3;PLCB1;TSC2
Platelet activation	up	0.8883575347	1	6	ADCY1;FCER1G;GNA13;GUCY1A2;PLA2G4C;RHOA	0.4907784104	0.8270326387	8	ADCY1;ADCY9;COL1A1;COL3A1;GNAI1;MAPK3;PLCB1;VAMP8
Porphyrin and chlorophyll metabolism	up	1	1	0	NA	0.8752452699	0.9948362619	1	BLVRA
