cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	median	q25	q75	resampling_lower	resampling_upper	n_bootstrap_evaluable	mean_detection
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	20	NA	mean_log1p_counts_per10k	0.5277917643431503	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Malignant_epithelial	0.5350599024105311	0.4705177261411025	0.6004386239265471	0.4400264680073831	0.6149022242691279	1000	0.5379956558543251
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	26	NA	mean_log1p_counts_per10k	0.2231979252635574	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Myeloid	0.2189509859936726	0.1446512008886873	0.32526260515161	0.1786641444549745	0.2655764257125276	1000	0.2377722341635156
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	10	NA	mean_log1p_counts_per10k	0.4887381374101833	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Nonmalignant_epithelial	0.4593912264573694	0.3583468797949732	0.6498341291402202	0.3701182378270692	0.610503985248237	999	0.5081010324526841
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	24	NA	mean_log1p_counts_per10k	0.1881348979614782	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Perivascular	0.1603238653505188	0.0987831928650177	0.2858385162529085	0.1380377608519846	0.2417810706891714	1000	0.1788694498205454
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	14	NA	mean_log1p_counts_per10k	0.0874181443364033	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Plasma_cells	0.1001568761377552	0.0445919458856659	0.1095014554619406	0.0659629307682725	0.1087714235187898	1000	0.1190516393641975
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	26	NA	mean_log1p_counts_per10k	0.0712295624570795	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	T_NK_cells	0.0728189873568007	0.0492164268076023	0.0958579563133253	0.058058650769781	0.0848828840756401	1000	0.048738978941077
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AMDHD2	source_donor_label	20	NA	mean_log1p_counts_per10k	0.0574290084858648	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	B_cells	0.0592548740266786	0.0320533465643793	0.0819287686549699	0.0385550673156075	0.0754645278424451	1000	0.0389684187297675
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AMDHD2	source_donor_label	24	NA	mean_log1p_counts_per10k	0.0479290422264765	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Endothelial	0.046484812099181	0.0325743708165753	0.065546258705478	0.037893058499008	0.0584423086228088	1000	0.0560752063011413
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AMDHD2	source_donor_label	23	NA	mean_log1p_counts_per10k	0.0853265142178172	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Fibroblasts	0.0853667644730226	0.0586409895965628	0.1119322560632453	0.0705998585466846	0.0993613782332732	1000	0.0953663452031375
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AMDHD2	source_donor_label	20	NA	mean_log1p_counts_per10k	0.1121307397993022	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Malignant_epithelial	0.1095634251088364	0.0593796979118055	0.128849972711946	0.0844475663707411	0.1424450053447173	1000	0.1902184389062571
