gene	subtype	scope	status	reason	top	second	effect	gap	n	detection
BCAT1	HER2+	shared_celltypes	DONE		Myeloid	Fibroblasts	0.2198497128690496	0.0635453925088992	5	0.2900990270251556
BCAT1	TNBC	all_evaluable_celltypes	DONE		Myeloid	Fibroblasts	0.2595747298772711	0.09982037558251058	10	0.2257122253621543
BCAT1	TNBC	shared_celltypes	DONE		Myeloid	Fibroblasts	0.2595747298772711	0.09982037558251058	10	0.2257122253621543
BCAT2	ER+	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2213664309843296	0.07267856890487348	9	0.2631997476929185
BCAT2	ER+	shared_celltypes	DONE		Malignant_epithelial	Endothelial	0.2213664309843296	0.1353674368124656	9	0.2631997476929185
BCAT2	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Endothelial	0.2128270352960184	0.1208117667068019	3	0.3628220111049349
BCAT2	HER2+	shared_celltypes	DONE		Malignant_epithelial	Endothelial	0.2128270352960184	0.1208117667068019	3	0.3628220111049349
BCAT2	TNBC	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1586232785366532	0.021622061942570714	8	0.2609535139334025
BCAT2	TNBC	shared_celltypes	DONE		Malignant_epithelial	Perivascular	0.1586232785366532	0.0588197219636714	8	0.2609535139334025
CDO1	ER+	all_evaluable_celltypes	DONE		Fibroblasts	Perivascular	0.1437965546244251	0.1054959509110478	9	0.1361895579844602
CDO1	ER+	shared_celltypes	DONE		Fibroblasts	Perivascular	0.1437965546244251	0.1054959509110478	9	0.1361895579844602
CDO1	HER2+	all_evaluable_celltypes	DONE		Fibroblasts	Perivascular	0.112766390347594	0.0815680077414594	5	0.1353275969619885
CDO1	HER2+	shared_celltypes	DONE		Fibroblasts	Perivascular	0.112766390347594	0.0815680077414594	5	0.1353275969619885
CDO1	TNBC	all_evaluable_celltypes	DONE		Fibroblasts	Nonmalignant_epithelial	0.1075313561771048	0.06928657310042749	9	0.1030298419577234
CDO1	TNBC	shared_celltypes	DONE		Fibroblasts	Perivascular	0.1075313561771048	0.0893477503805051	9	0.1030298419577234
CEPT1	ER+	all_evaluable_celltypes	DONE		B_cells	Malignant_epithelial	0.1296236611644051	0.021717828811397097	8	0.0772406584351645
CEPT1	ER+	shared_celltypes	DONE		B_cells	Malignant_epithelial	0.1296236611644051	0.021717828811397097	8	0.0772406584351645
CEPT1	HER2+	all_evaluable_celltypes	DONE		B_cells	Myeloid	0.1510479610846184	0.0263659299574142	5	0.0937420138542226
CEPT1	HER2+	shared_celltypes	DONE		B_cells	Myeloid	0.1510479610846184	0.0263659299574142	5	0.0937420138542226
CEPT1	TNBC	all_evaluable_celltypes	DONE		B_cells	Myeloid	0.1115977997917812	0.0135414193899277	7	0.0767930943048138
CEPT1	TNBC	shared_celltypes	DONE		B_cells	Myeloid	0.1115977997917812	0.0135414193899277	7	0.0767930943048138
CHKA	ER+	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Myeloid	0.1471466320790615	0.034077189488970414	4	0.2554872817516146
CHKA	ER+	shared_celltypes	DONE		Myeloid	Malignant_epithelial	0.1130694425900911	0.024816863506281386	11	0.1209651987979371
CHKA	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Myeloid	0.1516888238567835	0.022439812145536114	3	0.326286291836504
CHKA	HER2+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.1516888238567835	0.022439812145536114	3	0.326286291836504
CHKA	TNBC	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1551837375579702	0.046692280255979615	4	0.1873718858404288
CHKA	TNBC	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.1084914573019906	0.03879923519457	8	0.1553742376494843
CHKB	ER+	all_evaluable_celltypes	DONE		Fibroblasts	Myeloid	0.0743807073578302	0.007526980447498902	9	0.0787586734621268
CHKB	ER+	shared_celltypes	DONE		Fibroblasts	Myeloid	0.0743807073578302	0.007526980447498902	9	0.0787586734621268
CHKB	HER2+	all_evaluable_celltypes	DONE		Fibroblasts	B_cells	0.0879748814920566	0.016746881510324996	5	0.1456891954257409
CHKB	HER2+	shared_celltypes	DONE		Fibroblasts	B_cells	0.0879748814920566	0.016746881510324996	5	0.1456891954257409
CHKB	TNBC	all_evaluable_celltypes	DONE		T_NK_cells	Fibroblasts	0.0661102781252981	0.009365268088848598	10	0.0415660199803361
CHKB	TNBC	shared_celltypes	DONE		T_NK_cells	Fibroblasts	0.0661102781252981	0.009365268088848598	10	0.0415660199803361
CHPT1	ER+	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.7593918040198067	0.27145467460907335	4	0.6028519015197065
CHPT1	ER+	shared_celltypes	DONE		Malignant_epithelial	B_cells	0.4879371294107333	0.28548859789529824	9	0.3981766732761521
CHPT1	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Fibroblasts	0.2478061195218136	0.05505242591279641	3	0.3715782783064489
CHPT1	HER2+	shared_celltypes	DONE		Malignant_epithelial	Fibroblasts	0.2478061195218136	0.05505242591279641	3	0.3715782783064489
CHPT1	TNBC	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.3628017786087607	0.14373714952583974	4	0.3750666381342824
CHPT1	TNBC	shared_celltypes	DONE		Malignant_epithelial	B_cells	0.219064629082921	0.0653227406625416	8	0.2994383288181712
CKB	ER+	all_evaluable_celltypes	DONE		Perivascular	Fibroblasts	0.2701596144779624	0.12572639446578399	11	0.1775565174576426
CKB	ER+	shared_celltypes	DONE		Perivascular	Fibroblasts	0.2701596144779624	0.12572639446578399	11	0.1775565174576426
CKB	HER2+	all_evaluable_celltypes	DONE		Perivascular	Malignant_epithelial	0.2397491882591118	0.06499331578730899	4	0.2214788024914607
CKB	HER2+	shared_celltypes	DONE		Perivascular	Malignant_epithelial	0.2397491882591118	0.06499331578730899	4	0.2214788024914607
CKB	TNBC	all_evaluable_celltypes	DONE		Malignant_epithelial	Perivascular	0.4978535191183456	0.29103844580898697	8	0.3414315522464514
CKB	TNBC	shared_celltypes	DONE		Malignant_epithelial	Perivascular	0.4978535191183456	0.29103844580898697	8	0.3414315522464514
CKM	ER+	all_evaluable_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0061026470368792	0.0055617987153886005	11	0.0083585436545865
CKM	ER+	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0061026470368792	0.0058609507967382	11	0.0083585436545865
CKM	HER2+	all_evaluable_celltypes	DONE		Myeloid	Malignant_epithelial	0.0131120638600392	0.0062189679986272	5	0.0309818093935741
CKM	HER2+	shared_celltypes	DONE		Myeloid	Malignant_epithelial	0.0131120638600392	0.0062189679986272	5	0.0309818093935741
CKM	TNBC	all_evaluable_celltypes	DONE		Myeloid	Perivascular	0.0095019042114913	0.0075202214989755	10	0.0145720647933562
CKM	TNBC	shared_celltypes	DONE		Myeloid	Perivascular	0.0095019042114913	0.0075202214989755	10	0.0145720647933562
CMAS	ER+	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2504903415167277	0.05170689279563942	9	0.2901642558798267
CMAS	ER+	shared_celltypes	DONE		Malignant_epithelial	Endothelial	0.2504903415167277	0.11112774863937541	9	0.2901642558798267
CMAS	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Endothelial	0.3439890506744715	0.197901190663937	3	0.5176190812922009
CMAS	HER2+	shared_celltypes	DONE		Malignant_epithelial	Endothelial	0.3439890506744715	0.197901190663937	3	0.5176190812922009
CMAS	TNBC	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.4720685394563212	0.2030931353279416	8	0.4816732353987769
CMAS	TNBC	shared_celltypes	DONE		Malignant_epithelial	Endothelial	0.4720685394563212	0.30712990563797204	8	0.4816732353987769
CMPK1	ER+	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.5107581245532845	0.09400862752801303	4	0.5645551187848125
CMPK1	ER+	shared_celltypes	DONE		Malignant_epithelial	Fibroblasts	0.4167494970252715	0.07501820333483827	9	0.4433670651161424
CMPK1	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Fibroblasts	0.7313176010527993	0.3180037467443173	3	0.73765386014548
