logFC	logCPM	F	PValue	gene	site	construct	author_n_treated	author_n_control	gene_identity	q_within_contrast	ci_lower	ci_upper	ci_reason	q_global4
0.0137754357724086	5.81634930438758	0.0078218909138746	0.930721774952932	Mpdz	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.972062671793112
-0.0315608452151335	3.23538722631408	0.0509381455237042	0.824552679851185	Mpg	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.925421319486105
0.0996917763130605	7.26105951227705	0.6403127911341	0.436363973668771	Mphosph6	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.687593751201452
0.0794270466153479	6.85406742013285	0.694913661761604	0.417779536525846	Mphosph8	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.672242151797152
0.118965627606921	4.01786069277184	0.720706328405025	0.409551350213226	Mphosph9	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.665833607097836
0.0968363316940875	7.84799280922137	0.980046850518994	0.338133314624409	Mphosph10	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.602573863728032
-0.015347510771529	4.0505402062741	0.0146529608678561	0.905294215835615	Mpi	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.961314181995964
0.209669871686944	4.92429525897309	6.26819431316918	0.0245421519217209	Mplkip	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.82291022407712	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.11794316930225
0.0493968587471955	2.50646798023382	0.0519910391955632	0.822781612382076	Mpnd	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.924577931803754
-0.00569537844936064	6.17456119505174	0.00352445022429406	0.953455748006794	Mpp1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.981846885666483
0.274438007828336	-1.17782398640899	0.724892842673804	0.408162350727125	Mpp4	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.664772345668581
0.073078537732308	6.59978498308324	0.307757477790599	0.587418183795101	Mpp5	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.795941940144038
0.0141021274189756	7.39627114832325	0.0166300522995635	0.899138309414313	Mpp6	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.958699986123052
0.292174075784823	2.40712317123934	2.56679842765322	0.130435480726993	Mpp7	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.351467809360993
0.177189490422204	0.636881960250472	0.719181112573926	0.409970132692112	Mppe1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.665900366222495
-0.340413658762369	-1.05219256348459	0.816494466125217	0.380804981834583	Mpped2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.640372292820887
-0.0843091344722171	7.41978246605318	0.784976593035419	0.389824794516742	Mprip	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.648987480570856
0.0524361106331407	6.42538521582597	0.152146650637539	0.702096844663327	Mpv17	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.86408410087195
-0.0317770369269675	2.91663119729324	0.0538547021448152	0.819689692979366	Mpv17l	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.923352665175435
-0.236452471694146	2.75573487597662	1.5968143572863	0.22606640298664	Mpv17l2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.484945601469632
0.0895378018050853	6.64041263599944	0.589714612746706	0.4547128522017	Mpzl1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.702166414333979
0.757564842997037	3.08632834249202	11.6456275652099	0.0039649932954299	Mpzl2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.49980805540818	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.0313822018365061
0.157994001496641	0.153318932369043	0.261542929503052	0.61667238236141	Mpzl3	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.81367114491788
-0.347056340300644	2.76418502302599	3.75286210688042	0.0722150079259417	Mr1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.242949875687999
-0.171937825202755	2.54850123734548	0.734835839439118	0.405106043792278	Mras	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.662174435401961
0.125949956610217	3.6008006970661	0.625547360000106	0.441592347525056	Mrc1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.691379689267468
-0.964690732664699	-0.985181828097581	7.93326583994616	0.0132367840890882	Mrc2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.705920989955324	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.0757098292545529
0.0373324597180744	6.734746213917	0.173644755750971	0.682887178416119	Mre11a	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.853060954688847
-0.32144806672088	4.00653619087507	3.62354982593584	0.07677253411673	Mreg	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.25255445658734
0.0266272763661864	9.55826543001576	0.0680499918747154	0.79780050389633	Mrfap1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.913455792796803
0.0613875448864508	2.51284132179683	0.186639836042309	0.671992378717908	Mrgbp	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.847187180166661
0.0763273447197501	-0.35623548725681	0.0547610535043426	0.818210688537776	Mrgpra6	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.922599339829906
0.173200250385325	2.24948453901334	1.4946764760033	0.240650757235103	Mrgpre	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.502725358504569
-0.121969210935683	2.95274901537606	0.75149218257632	0.399960723833137	Mri1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.657601021831152
-0.0179655887257904	2.34921404405938	0.0196339367260554	0.89045774425792	Mrm1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.955245111177744
-0.00223992390385363	1.37467404951436	9.78958040360312e-05	0.992238964503933	Mroh1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.999672107592913	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.996894892401679
0.0833371082749873	6.11886845081193	0.142455656296846	0.711255885477667	Mrp63	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.869387978054804
0.0899403180357745	6.89524826626597	0.532393456092204	0.477091456923606	Mrpl1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.718518789188045
-0.00800004318622129	5.08072709525611	0.00223403690589302	0.962938953389583	Mrpl2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.985679481356102
-0.0445661961184025	7.02001931777844	0.147590095135697	0.706359944366108	Mrpl3	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.866628597281441
-0.261695361506567	4.68646613806485	2.33194187579282	0.148012317646339	Mrpl4	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.379730669144944
-0.0524229107815381	6.33536339239065	0.433006249518944	0.52064540609437	Mrpl9	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.750385454565893
