cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	external_feature_id
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00037	glycine	GSS	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00037|GSS	Glycine
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00037	glycine	PEPD	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00037|PEPD	Glycine
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00037	glycine	SHMT1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00037|SHMT1	Glycine
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00037	glycine	SHMT2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00037|SHMT2	Glycine
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00047	lysine	AASS	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00047|AASS	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00049	aspartate	ASNS	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00049|ASNS	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00049	aspartate	ASS1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00049|ASS1	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00049	aspartate	GOT1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00049|GOT1	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00049	aspartate	GOT2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00049|GOT2	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00051	glutathione, reduced (GSH)	GSR	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	stereochemical_or_redox_scope_not_explicit	Oslo2	KEGG:C00051|GSR	Glutathione
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00051	glutathione, reduced (GSH)	GSS	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	stereochemical_or_redox_scope_not_explicit	Oslo2	KEGG:C00051|GSS	Glutathione
